# Michel averaged cross sections from the Athar et al. paper
# name   A   Z   Qth (MeV)   xs(RPA C)

12C     12      6       17.84   13.60
14N     14      7       5.60    52.65
16O     16      8       19.76   14.55
19F     19      9       3.75    96.35
23Na    23      11      4.56    120.50
27Al    27      13      5.32    111.62
28Si    28      14      14.80   46.25
31P     31      15      5.91    127.10
32S     32      16      13.20   64.40
37Cl    37      17      1.32    216.00
40Ar    40      18      4.3     228.00
39K     39      19      7.04    123.55
40Ca    40      20      14.80   61.25
51V     51      23      1.26    323.20
52Cr    52      24      5.22    254.70
55Mn    55      25      0.74    412.40
56Fe    56      26      6.82    277.00
59Co    59      27      1.92    418.70
71Ga    71      31      0.74    596.00
89Y     89      39      4.44    633.50
93Nb    93      41      0.91    760.10
98Mo    98      42      2.20    854.00
115In   115     49      0.008   1133.00
127I    127     53      1.42    1253.00
139La   139     57      0.78    1400.00
181Ta   181     73      0.70    2358.00
208Pb   208     82      5.20    2643.00
209Bi   209     83      3.80    2497.00
