# Neutrino-Ar CEvNS cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-3.298731   3.465582e-02   3.465582e-02   3.465582e-02   3.465582e-02   3.465582e-02   3.465582e-02
-3.296433   3.549092e-02   3.549092e-02   3.549092e-02   3.549092e-02   3.549092e-02   3.549092e-02
-3.294134   3.630558e-02   3.630558e-02   3.630558e-02   3.630558e-02   3.630558e-02   3.630558e-02
-3.291835   3.710016e-02   3.710016e-02   3.710016e-02   3.710016e-02   3.710016e-02   3.710016e-02
-3.289536   3.787500e-02   3.787500e-02   3.787500e-02   3.787500e-02   3.787500e-02   3.787500e-02
-3.287238   3.863046e-02   3.863046e-02   3.863046e-02   3.863046e-02   3.863046e-02   3.863046e-02
-3.284939   3.936688e-02   3.936688e-02   3.936688e-02   3.936688e-02   3.936688e-02   3.936688e-02
-3.282640   4.008460e-02   4.008460e-02   4.008460e-02   4.008460e-02   4.008460e-02   4.008460e-02
-3.280341   4.078395e-02   4.078395e-02   4.078395e-02   4.078395e-02   4.078395e-02   4.078395e-02
-3.278043   4.146525e-02   4.146525e-02   4.146525e-02   4.146525e-02   4.146525e-02   4.146525e-02
-3.275744   4.212884e-02   4.212884e-02   4.212884e-02   4.212884e-02   4.212884e-02   4.212884e-02
-3.273445   4.277502e-02   4.277502e-02   4.277502e-02   4.277502e-02   4.277502e-02   4.277502e-02
-3.271146   4.340410e-02   4.340410e-02   4.340410e-02   4.340410e-02   4.340410e-02   4.340410e-02
-3.268848   4.401640e-02   4.401640e-02   4.401640e-02   4.401640e-02   4.401640e-02   4.401640e-02
-3.266549   4.461221e-02   4.461221e-02   4.461221e-02   4.461221e-02   4.461221e-02   4.461221e-02
-3.264250   4.519182e-02   4.519182e-02   4.519182e-02   4.519182e-02   4.519182e-02   4.519182e-02
-3.261952   4.575554e-02   4.575554e-02   4.575554e-02   4.575554e-02   4.575554e-02   4.575554e-02
-3.259653   4.630364e-02   4.630364e-02   4.630364e-02   4.630364e-02   4.630364e-02   4.630364e-02
-3.257354   4.683641e-02   4.683641e-02   4.683641e-02   4.683641e-02   4.683641e-02   4.683641e-02
-3.255055   4.735412e-02   4.735412e-02   4.735412e-02   4.735412e-02   4.735412e-02   4.735412e-02
-3.252757   4.785705e-02   4.785705e-02   4.785705e-02   4.785705e-02   4.785705e-02   4.785705e-02
-3.250458   4.834546e-02   4.834546e-02   4.834546e-02   4.834546e-02   4.834546e-02   4.834546e-02
-3.248159   4.881962e-02   4.881962e-02   4.881962e-02   4.881962e-02   4.881962e-02   4.881962e-02
-3.245860   4.927979e-02   4.927979e-02   4.927979e-02   4.927979e-02   4.927979e-02   4.927979e-02
-3.243562   4.972621e-02   4.972621e-02   4.972621e-02   4.972621e-02   4.972621e-02   4.972621e-02
-3.241263   5.015915e-02   5.015915e-02   5.015915e-02   5.015915e-02   5.015915e-02   5.015915e-02
-3.238964   5.057885e-02   5.057885e-02   5.057885e-02   5.057885e-02   5.057885e-02   5.057885e-02
-3.236666   5.098615e-02   5.098615e-02   5.098615e-02   5.098615e-02   5.098615e-02   5.098615e-02
-3.234367   5.138242e-02   5.138242e-02   5.138242e-02   5.138242e-02   5.138242e-02   5.138242e-02
-3.232068   5.176612e-02   5.176612e-02   5.176612e-02   5.176612e-02   5.176612e-02   5.176612e-02
-3.229769   5.213747e-02   5.213747e-02   5.213747e-02   5.213747e-02   5.213747e-02   5.213747e-02
-3.227471   5.249670e-02   5.249670e-02   5.249670e-02   5.249670e-02   5.249670e-02   5.249670e-02
-3.225172   5.284413e-02   5.284413e-02   5.284413e-02   5.284413e-02   5.284413e-02   5.284413e-02
-3.222873   5.318037e-02   5.318037e-02   5.318037e-02   5.318037e-02   5.318037e-02   5.318037e-02
-3.220574   5.350515e-02   5.350515e-02   5.350515e-02   5.350515e-02   5.350515e-02   5.350515e-02
-3.218276   5.381866e-02   5.381866e-02   5.381866e-02   5.381866e-02   5.381866e-02   5.381866e-02
-3.215977   5.412114e-02   5.412114e-02   5.412114e-02   5.412114e-02   5.412114e-02   5.412114e-02
-3.213678   5.476535e-02   5.476535e-02   5.476535e-02   5.476535e-02   5.476535e-02   5.476535e-02
-3.211379   5.617336e-02   5.617336e-02   5.617336e-02   5.617336e-02   5.617336e-02   5.617336e-02
-3.209081   5.754721e-02   5.754721e-02   5.754721e-02   5.754721e-02   5.754721e-02   5.754721e-02
-3.206782   5.888749e-02   5.888749e-02   5.888749e-02   5.888749e-02   5.888749e-02   5.888749e-02
-3.204483   6.019479e-02   6.019479e-02   6.019479e-02   6.019479e-02   6.019479e-02   6.019479e-02
-3.202185   6.146970e-02   6.146970e-02   6.146970e-02   6.146970e-02   6.146970e-02   6.146970e-02
-3.199886   6.271279e-02   6.271279e-02   6.271279e-02   6.271279e-02   6.271279e-02   6.271279e-02
-3.197587   6.392462e-02   6.392462e-02   6.392462e-02   6.392462e-02   6.392462e-02   6.392462e-02
-3.195288   6.510575e-02   6.510575e-02   6.510575e-02   6.510575e-02   6.510575e-02   6.510575e-02
-3.192990   6.625672e-02   6.625672e-02   6.625672e-02   6.625672e-02   6.625672e-02   6.625672e-02
-3.190691   6.737806e-02   6.737806e-02   6.737806e-02   6.737806e-02   6.737806e-02   6.737806e-02
-3.188392   6.847032e-02   6.847032e-02   6.847032e-02   6.847032e-02   6.847032e-02   6.847032e-02
-3.186093   6.953399e-02   6.953399e-02   6.953399e-02   6.953399e-02   6.953399e-02   6.953399e-02
-3.183795   7.056960e-02   7.056960e-02   7.056960e-02   7.056960e-02   7.056960e-02   7.056960e-02
-3.181496   7.157765e-02   7.157765e-02   7.157765e-02   7.157765e-02   7.157765e-02   7.157765e-02
-3.179197   7.255862e-02   7.255862e-02   7.255862e-02   7.255862e-02   7.255862e-02   7.255862e-02
-3.176899   7.351301e-02   7.351301e-02   7.351301e-02   7.351301e-02   7.351301e-02   7.351301e-02
-3.174600   7.444129e-02   7.444129e-02   7.444129e-02   7.444129e-02   7.444129e-02   7.444129e-02
-3.172301   7.534394e-02   7.534394e-02   7.534394e-02   7.534394e-02   7.534394e-02   7.534394e-02
-3.170002   7.622141e-02   7.622141e-02   7.622141e-02   7.622141e-02   7.622141e-02   7.622141e-02
-3.167704   7.707415e-02   7.707415e-02   7.707415e-02   7.707415e-02   7.707415e-02   7.707415e-02
-3.165405   7.790263e-02   7.790263e-02   7.790263e-02   7.790263e-02   7.790263e-02   7.790263e-02
-3.163106   7.870727e-02   7.870727e-02   7.870727e-02   7.870727e-02   7.870727e-02   7.870727e-02
-3.160807   7.948850e-02   7.948850e-02   7.948850e-02   7.948850e-02   7.948850e-02   7.948850e-02
-3.158509   8.024676e-02   8.024676e-02   8.024676e-02   8.024676e-02   8.024676e-02   8.024676e-02
-3.156210   8.098246e-02   8.098246e-02   8.098246e-02   8.098246e-02   8.098246e-02   8.098246e-02
-3.153911   8.169601e-02   8.169601e-02   8.169601e-02   8.169601e-02   8.169601e-02   8.169601e-02
-3.151612   8.238782e-02   8.238782e-02   8.238782e-02   8.238782e-02   8.238782e-02   8.238782e-02
-3.149314   8.305829e-02   8.305829e-02   8.305829e-02   8.305829e-02   8.305829e-02   8.305829e-02
-3.147015   8.370962e-02   8.370962e-02   8.370962e-02   8.370962e-02   8.370962e-02   8.370962e-02
-3.144716   8.434044e-02   8.434044e-02   8.434044e-02   8.434044e-02   8.434044e-02   8.434044e-02
-3.142418   8.495103e-02   8.495103e-02   8.495103e-02   8.495103e-02   8.495103e-02   8.495103e-02
-3.140119   8.554176e-02   8.554176e-02   8.554176e-02   8.554176e-02   8.554176e-02   8.554176e-02
-3.137820   8.611300e-02   8.611300e-02   8.611300e-02   8.611300e-02   8.611300e-02   8.611300e-02
-3.135521   8.666551e-02   8.666551e-02   8.666551e-02   8.666551e-02   8.666551e-02   8.666551e-02
-3.133223   8.719931e-02   8.719931e-02   8.719931e-02   8.719931e-02   8.719931e-02   8.719931e-02
-3.130924   8.771467e-02   8.771467e-02   8.771467e-02   8.771467e-02   8.771467e-02   8.771467e-02
-3.128625   8.821194e-02   8.821194e-02   8.821194e-02   8.821194e-02   8.821194e-02   8.821194e-02
-3.126326   8.869707e-02   8.869707e-02   8.869707e-02   8.869707e-02   8.869707e-02   8.869707e-02
-3.124028   9.008522e-02   9.008522e-02   9.008522e-02   9.008522e-02   9.008522e-02   9.008522e-02
-3.121729   9.143680e-02   9.143680e-02   9.143680e-02   9.143680e-02   9.143680e-02   9.143680e-02
-3.119430   9.275246e-02   9.275246e-02   9.275246e-02   9.275246e-02   9.275246e-02   9.275246e-02
-3.117131   9.403284e-02   9.403284e-02   9.403284e-02   9.403284e-02   9.403284e-02   9.403284e-02
-3.114833   9.527858e-02   9.527858e-02   9.527858e-02   9.527858e-02   9.527858e-02   9.527858e-02
-3.112534   9.649030e-02   9.649030e-02   9.649030e-02   9.649030e-02   9.649030e-02   9.649030e-02
-3.110235   9.766860e-02   9.766860e-02   9.766860e-02   9.766860e-02   9.766860e-02   9.766860e-02
-3.107937   9.881410e-02   9.881410e-02   9.881410e-02   9.881410e-02   9.881410e-02   9.881410e-02
-3.105638   9.992739e-02   9.992739e-02   9.992739e-02   9.992739e-02   9.992739e-02   9.992739e-02
-3.103339   1.010090e-01   1.010090e-01   1.010090e-01   1.010090e-01   1.010090e-01   1.010090e-01
-3.101040   1.020596e-01   1.020596e-01   1.020596e-01   1.020596e-01   1.020596e-01   1.020596e-01
-3.098742   1.030797e-01   1.030797e-01   1.030797e-01   1.030797e-01   1.030797e-01   1.030797e-01
-3.096443   1.040699e-01   1.040699e-01   1.040699e-01   1.040699e-01   1.040699e-01   1.040699e-01
-3.094144   1.050306e-01   1.050306e-01   1.050306e-01   1.050306e-01   1.050306e-01   1.050306e-01
-3.091845   1.059625e-01   1.059625e-01   1.059625e-01   1.059625e-01   1.059625e-01   1.059625e-01
-3.089547   1.068661e-01   1.068661e-01   1.068661e-01   1.068661e-01   1.068661e-01   1.068661e-01
-3.087248   1.077418e-01   1.077418e-01   1.077418e-01   1.077418e-01   1.077418e-01   1.077418e-01
-3.084949   1.085915e-01   1.085915e-01   1.085915e-01   1.085915e-01   1.085915e-01   1.085915e-01
-3.082651   1.094148e-01   1.094148e-01   1.094148e-01   1.094148e-01   1.094148e-01   1.094148e-01
-3.080352   1.102117e-01   1.102117e-01   1.102117e-01   1.102117e-01   1.102117e-01   1.102117e-01
-3.078053   1.109828e-01   1.109828e-01   1.109828e-01   1.109828e-01   1.109828e-01   1.109828e-01
-3.075754   1.117284e-01   1.117284e-01   1.117284e-01   1.117284e-01   1.117284e-01   1.117284e-01
-3.073456   1.124495e-01   1.124495e-01   1.124495e-01   1.124495e-01   1.124495e-01   1.124495e-01
-3.071157   1.131462e-01   1.131462e-01   1.131462e-01   1.131462e-01   1.131462e-01   1.131462e-01
-3.068858   1.138189e-01   1.138189e-01   1.138189e-01   1.138189e-01   1.138189e-01   1.138189e-01
-3.066559   1.144680e-01   1.144680e-01   1.144680e-01   1.144680e-01   1.144680e-01   1.144680e-01
-3.064261   1.150940e-01   1.150940e-01   1.150940e-01   1.150940e-01   1.150940e-01   1.150940e-01
-3.061962   1.163641e-01   1.163641e-01   1.163641e-01   1.163641e-01   1.163641e-01   1.163641e-01
-3.059663   1.177332e-01   1.177332e-01   1.177332e-01   1.177332e-01   1.177332e-01   1.177332e-01
-3.057364   1.190638e-01   1.190638e-01   1.190638e-01   1.190638e-01   1.190638e-01   1.190638e-01
-3.055066   1.203566e-01   1.203566e-01   1.203566e-01   1.203566e-01   1.203566e-01   1.203566e-01
-3.052767   1.216123e-01   1.216123e-01   1.216123e-01   1.216123e-01   1.216123e-01   1.216123e-01
-3.050468   1.228317e-01   1.228317e-01   1.228317e-01   1.228317e-01   1.228317e-01   1.228317e-01
-3.048170   1.240152e-01   1.240152e-01   1.240152e-01   1.240152e-01   1.240152e-01   1.240152e-01
-3.045871   1.251637e-01   1.251637e-01   1.251637e-01   1.251637e-01   1.251637e-01   1.251637e-01
-3.043572   1.262776e-01   1.262776e-01   1.262776e-01   1.262776e-01   1.262776e-01   1.262776e-01
-3.041273   1.273578e-01   1.273578e-01   1.273578e-01   1.273578e-01   1.273578e-01   1.273578e-01
-3.038975   1.284047e-01   1.284047e-01   1.284047e-01   1.284047e-01   1.284047e-01   1.284047e-01
-3.036676   1.294200e-01   1.294200e-01   1.294200e-01   1.294200e-01   1.294200e-01   1.294200e-01
-3.034377   1.304038e-01   1.304038e-01   1.304038e-01   1.304038e-01   1.304038e-01   1.304038e-01
-3.032078   1.313561e-01   1.313561e-01   1.313561e-01   1.313561e-01   1.313561e-01   1.313561e-01
-3.029780   1.322775e-01   1.322775e-01   1.322775e-01   1.322775e-01   1.322775e-01   1.322775e-01
-3.027481   1.331686e-01   1.331686e-01   1.331686e-01   1.331686e-01   1.331686e-01   1.331686e-01
-3.025182   1.340302e-01   1.340302e-01   1.340302e-01   1.340302e-01   1.340302e-01   1.340302e-01
-3.022884   1.348628e-01   1.348628e-01   1.348628e-01   1.348628e-01   1.348628e-01   1.348628e-01
-3.020585   1.356667e-01   1.356667e-01   1.356667e-01   1.356667e-01   1.356667e-01   1.356667e-01
-3.018286   1.364424e-01   1.364424e-01   1.364424e-01   1.364424e-01   1.364424e-01   1.364424e-01
-3.015987   1.371906e-01   1.371906e-01   1.371906e-01   1.371906e-01   1.371906e-01   1.371906e-01
-3.013689   1.384513e-01   1.384513e-01   1.384513e-01   1.384513e-01   1.384513e-01   1.384513e-01
-3.011390   1.398517e-01   1.398517e-01   1.398517e-01   1.398517e-01   1.398517e-01   1.398517e-01
-3.009091   1.412112e-01   1.412112e-01   1.412112e-01   1.412112e-01   1.412112e-01   1.412112e-01
-3.006792   1.425305e-01   1.425305e-01   1.425305e-01   1.425305e-01   1.425305e-01   1.425305e-01
-3.004494   1.438103e-01   1.438103e-01   1.438103e-01   1.438103e-01   1.438103e-01   1.438103e-01
-3.002195   1.450513e-01   1.450513e-01   1.450513e-01   1.450513e-01   1.450513e-01   1.450513e-01
-2.999896   1.462542e-01   1.462542e-01   1.462542e-01   1.462542e-01   1.462542e-01   1.462542e-01
-2.997597   1.474204e-01   1.474204e-01   1.474204e-01   1.474204e-01   1.474204e-01   1.474204e-01
-2.995299   1.485507e-01   1.485507e-01   1.485507e-01   1.485507e-01   1.485507e-01   1.485507e-01
-2.993000   1.496449e-01   1.496449e-01   1.496449e-01   1.496449e-01   1.496449e-01   1.496449e-01
-2.990701   1.507037e-01   1.507037e-01   1.507037e-01   1.507037e-01   1.507037e-01   1.507037e-01
