# Neutrino-Xe CEvNS cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-3.298731   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.296433   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.294134   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.291835   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.289536   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.287238   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.284939   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.282640   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.280341   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.278043   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.275744   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.273445   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.271146   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.268848   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.266549   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.264250   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.261952   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.259653   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.257354   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.255055   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.252757   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.250458   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.248159   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.245860   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.243562   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.241263   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.238964   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.236666   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.234367   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.232068   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.229769   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.227471   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.225172   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.222873   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.220574   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.218276   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.215977   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.213678   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.211379   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.209081   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.206782   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.204483   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.202185   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.199886   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.197587   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.195288   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.192990   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.190691   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.188392   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.186093   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.183795   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.181496   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.179197   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.176899   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.174600   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.172301   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.170002   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.167704   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.165405   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.163106   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.160807   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.158509   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.156210   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.153911   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.151612   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.149314   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.147015   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.144716   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.142418   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.140119   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.137820   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.135521   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.133223   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.130924   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.128625   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.126326   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.124028   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.121729   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.119430   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.117131   2.470817e-05   2.470817e-05   2.470817e-05   2.470817e-05   2.470817e-05   2.470817e-05
-3.114833   6.153632e-05   6.153632e-05   6.153632e-05   6.153632e-05   6.153632e-05   6.153632e-05
-3.112534   1.153271e-04   1.153271e-04   1.153271e-04   1.153271e-04   1.153271e-04   1.153271e-04
-3.110235   1.887087e-03   1.887087e-03   1.887087e-03   1.887087e-03   1.887087e-03   1.887087e-03
-3.107937   1.215723e-02   1.215723e-02   1.215723e-02   1.215723e-02   1.215723e-02   1.215723e-02
-3.105638   2.861774e-02   2.861774e-02   2.861774e-02   2.861774e-02   2.861774e-02   2.861774e-02
-3.103339   5.645965e-02   5.645965e-02   5.645965e-02   5.645965e-02   5.645965e-02   5.645965e-02
-3.101040   8.663129e-02   8.663129e-02   8.663129e-02   8.663129e-02   8.663129e-02   8.663129e-02
-3.098742   1.184746e-01   1.184746e-01   1.184746e-01   1.184746e-01   1.184746e-01   1.184746e-01
-3.096443   1.528363e-01   1.528363e-01   1.528363e-01   1.528363e-01   1.528363e-01   1.528363e-01
-3.094144   1.864655e-01   1.864655e-01   1.864655e-01   1.864655e-01   1.864655e-01   1.864655e-01
-3.091845   2.193747e-01   2.193747e-01   2.193747e-01   2.193747e-01   2.193747e-01   2.193747e-01
-3.089547   2.515762e-01   2.515762e-01   2.515762e-01   2.515762e-01   2.515762e-01   2.515762e-01
-3.087248   2.830822e-01   2.830822e-01   2.830822e-01   2.830822e-01   2.830822e-01   2.830822e-01
-3.084949   3.139046e-01   3.139046e-01   3.139046e-01   3.139046e-01   3.139046e-01   3.139046e-01
-3.082651   3.440551e-01   3.440551e-01   3.440551e-01   3.440551e-01   3.440551e-01   3.440551e-01
-3.080352   3.735455e-01   3.735455e-01   3.735455e-01   3.735455e-01   3.735455e-01   3.735455e-01
-3.078053   4.023869e-01   4.023869e-01   4.023869e-01   4.023869e-01   4.023869e-01   4.023869e-01
-3.075754   4.305907e-01   4.305907e-01   4.305907e-01   4.305907e-01   4.305907e-01   4.305907e-01
-3.073456   4.581678e-01   4.581678e-01   4.581678e-01   4.581678e-01   4.581678e-01   4.581678e-01
-3.071157   4.851291e-01   4.851291e-01   4.851291e-01   4.851291e-01   4.851291e-01   4.851291e-01
-3.068858   5.114852e-01   5.114852e-01   5.114852e-01   5.114852e-01   5.114852e-01   5.114852e-01
-3.066559   5.372466e-01   5.372466e-01   5.372466e-01   5.372466e-01   5.372466e-01   5.372466e-01
-3.064261   5.624236e-01   5.624236e-01   5.624236e-01   5.624236e-01   5.624236e-01   5.624236e-01
-3.061962   5.870265e-01   5.870265e-01   5.870265e-01   5.870265e-01   5.870265e-01   5.870265e-01
-3.059663   6.110651e-01   6.110651e-01   6.110651e-01   6.110651e-01   6.110651e-01   6.110651e-01
-3.057364   6.345492e-01   6.345492e-01   6.345492e-01   6.345492e-01   6.345492e-01   6.345492e-01
-3.055066   6.574887e-01   6.574887e-01   6.574887e-01   6.574887e-01   6.574887e-01   6.574887e-01
-3.052767   6.798928e-01   6.798928e-01   6.798928e-01   6.798928e-01   6.798928e-01   6.798928e-01
-3.050468   7.017711e-01   7.017711e-01   7.017711e-01   7.017711e-01   7.017711e-01   7.017711e-01
-3.048170   7.231327e-01   7.231327e-01   7.231327e-01   7.231327e-01   7.231327e-01   7.231327e-01
-3.045871   7.439866e-01   7.439866e-01   7.439866e-01   7.439866e-01   7.439866e-01   7.439866e-01
-3.043572   7.643418e-01   7.643418e-01   7.643418e-01   7.643418e-01   7.643418e-01   7.643418e-01
-3.041273   7.842070e-01   7.842070e-01   7.842070e-01   7.842070e-01   7.842070e-01   7.842070e-01
-3.038975   8.035908e-01   8.035908e-01   8.035908e-01   8.035908e-01   8.035908e-01   8.035908e-01
-3.036676   8.225016e-01   8.225016e-01   8.225016e-01   8.225016e-01   8.225016e-01   8.225016e-01
-3.034377   8.409479e-01   8.409479e-01   8.409479e-01   8.409479e-01   8.409479e-01   8.409479e-01
-3.032078   8.589379e-01   8.589379e-01   8.589379e-01   8.589379e-01   8.589379e-01   8.589379e-01
-3.029780   8.764795e-01   8.764795e-01   8.764795e-01   8.764795e-01   8.764795e-01   8.764795e-01
-3.027481   8.935807e-01   8.935807e-01   8.935807e-01   8.935807e-01   8.935807e-01   8.935807e-01
-3.025182   9.102494e-01   9.102494e-01   9.102494e-01   9.102494e-01   9.102494e-01   9.102494e-01
-3.022884   9.264931e-01   9.264931e-01   9.264931e-01   9.264931e-01   9.264931e-01   9.264931e-01
-3.020585   9.423195e-01   9.423195e-01   9.423195e-01   9.423195e-01   9.423195e-01   9.423195e-01
-3.018286   9.577360e-01   9.577360e-01   9.577360e-01   9.577360e-01   9.577360e-01   9.577360e-01
-3.015987   9.727499e-01   9.727499e-01   9.727499e-01   9.727499e-01   9.727499e-01   9.727499e-01
-3.013689   9.873683e-01   9.873683e-01   9.873683e-01   9.873683e-01   9.873683e-01   9.873683e-01
-3.011390   1.001598e+00   1.001598e+00   1.001598e+00   1.001598e+00   1.001598e+00   1.001598e+00
-3.009091   1.015447e+00   1.015447e+00   1.015447e+00   1.015447e+00   1.015447e+00   1.015447e+00
-3.006792   1.028921e+00   1.028921e+00   1.028921e+00   1.028921e+00   1.028921e+00   1.028921e+00
-3.004494   1.042027e+00   1.042027e+00   1.042027e+00   1.042027e+00   1.042027e+00   1.042027e+00
-3.002195   1.054772e+00   1.054772e+00   1.054772e+00   1.054772e+00   1.054772e+00   1.054772e+00
-2.999896   1.067163e+00   1.067163e+00   1.067163e+00   1.067163e+00   1.067163e+00   1.067163e+00
-2.997597   1.079205e+00   1.079205e+00   1.079205e+00   1.079205e+00   1.079205e+00   1.079205e+00
-2.995299   1.090905e+00   1.090905e+00   1.090905e+00   1.090905e+00   1.090905e+00   1.090905e+00
-2.993000   1.102269e+00   1.102269e+00   1.102269e+00   1.102269e+00   1.102269e+00   1.102269e+00
-2.990701   1.113303e+00   1.113303e+00   1.113303e+00   1.113303e+00   1.113303e+00   1.113303e+00
-2.988403   1.124014e+00   1.124014e+00   1.124014e+00   1.124014e+00   1.124014e+00   1.124014e+00
-2.986104   1.134407e+00   1.134407e+00   1.134407e+00   1.134407e+00   1.134407e+00   1.134407e+00
-2.983805   1.144487e+00   1.144487e+00   1.144487e+00   1.144487e+00   1.144487e+00   1.144487e+00
-2.981506   1.154262e+00   1.154262e+00   1.154262e+00   1.154262e+00   1.154262e+00   1.154262e+00
-2.979208   1.163735e+00   1.163735e+00   1.163735e+00   1.163735e+00   1.163735e+00   1.163735e+00
