# Neutrino-Ge CEvNS cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-3.298731   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.296433   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.294134   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.291835   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.289536   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.287238   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.284939   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.282640   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.280341   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.278043   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.275744   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.273445   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.271146   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.268848   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.266549   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.264250   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.261952   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.259653   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.257354   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.255055   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.252757   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.250458   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.248159   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.245860   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.243562   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.241263   1.213683e-03   1.213683e-03   1.213683e-03   1.213683e-03   1.213683e-03   1.213683e-03
-3.238964   2.490667e-03   2.490667e-03   2.490667e-03   2.490667e-03   2.490667e-03   2.490667e-03
-3.236666   4.278213e-03   4.278213e-03   4.278213e-03   4.278213e-03   4.278213e-03   4.278213e-03
-3.234367   7.457053e-03   7.457053e-03   7.457053e-03   7.457053e-03   7.457053e-03   7.457053e-03
-3.232068   1.113167e-02   1.113167e-02   1.113167e-02   1.113167e-02   1.113167e-02   1.113167e-02
-3.229769   1.673336e-02   1.673336e-02   1.673336e-02   1.673336e-02   1.673336e-02   1.673336e-02
-3.227471   2.317863e-02   2.317863e-02   2.317863e-02   2.317863e-02   2.317863e-02   2.317863e-02
-3.225172   2.959431e-02   2.959431e-02   2.959431e-02   2.959431e-02   2.959431e-02   2.959431e-02
-3.222873   3.646238e-02   3.646238e-02   3.646238e-02   3.646238e-02   3.646238e-02   3.646238e-02
-3.220574   4.318354e-02   4.318354e-02   4.318354e-02   4.318354e-02   4.318354e-02   4.318354e-02
-3.218276   4.976031e-02   4.976031e-02   4.976031e-02   4.976031e-02   4.976031e-02   4.976031e-02
-3.215977   5.619515e-02   5.619515e-02   5.619515e-02   5.619515e-02   5.619515e-02   5.619515e-02
-3.213678   6.249052e-02   6.249052e-02   6.249052e-02   6.249052e-02   6.249052e-02   6.249052e-02
-3.211379   6.864881e-02   6.864881e-02   6.864881e-02   6.864881e-02   6.864881e-02   6.864881e-02
-3.209081   7.467237e-02   7.467237e-02   7.467237e-02   7.467237e-02   7.467237e-02   7.467237e-02
-3.206782   8.056353e-02   8.056353e-02   8.056353e-02   8.056353e-02   8.056353e-02   8.056353e-02
-3.204483   8.632458e-02   8.632458e-02   8.632458e-02   8.632458e-02   8.632458e-02   8.632458e-02
-3.202185   9.195775e-02   9.195775e-02   9.195775e-02   9.195775e-02   9.195775e-02   9.195775e-02
-3.199886   9.746527e-02   9.746527e-02   9.746527e-02   9.746527e-02   9.746527e-02   9.746527e-02
-3.197587   1.028493e-01   1.028493e-01   1.028493e-01   1.028493e-01   1.028493e-01   1.028493e-01
-3.195288   1.081120e-01   1.081120e-01   1.081120e-01   1.081120e-01   1.081120e-01   1.081120e-01
-3.192990   1.132554e-01   1.132554e-01   1.132554e-01   1.132554e-01   1.132554e-01   1.132554e-01
-3.190691   1.182817e-01   1.182817e-01   1.182817e-01   1.182817e-01   1.182817e-01   1.182817e-01
-3.188392   1.231928e-01   1.231928e-01   1.231928e-01   1.231928e-01   1.231928e-01   1.231928e-01
-3.186093   1.279908e-01   1.279908e-01   1.279908e-01   1.279908e-01   1.279908e-01   1.279908e-01
-3.183795   1.326777e-01   1.326777e-01   1.326777e-01   1.326777e-01   1.326777e-01   1.326777e-01
-3.181496   1.372553e-01   1.372553e-01   1.372553e-01   1.372553e-01   1.372553e-01   1.372553e-01
-3.179197   1.417256e-01   1.417256e-01   1.417256e-01   1.417256e-01   1.417256e-01   1.417256e-01
-3.176899   1.460905e-01   1.460905e-01   1.460905e-01   1.460905e-01   1.460905e-01   1.460905e-01
-3.174600   1.503518e-01   1.503518e-01   1.503518e-01   1.503518e-01   1.503518e-01   1.503518e-01
-3.172301   1.545113e-01   1.545113e-01   1.545113e-01   1.545113e-01   1.545113e-01   1.545113e-01
-3.170002   1.585708e-01   1.585708e-01   1.585708e-01   1.585708e-01   1.585708e-01   1.585708e-01
-3.167704   1.625321e-01   1.625321e-01   1.625321e-01   1.625321e-01   1.625321e-01   1.625321e-01
-3.165405   1.663969e-01   1.663969e-01   1.663969e-01   1.663969e-01   1.663969e-01   1.663969e-01
-3.163106   1.701668e-01   1.701668e-01   1.701668e-01   1.701668e-01   1.701668e-01   1.701668e-01
-3.160807   1.738437e-01   1.738437e-01   1.738437e-01   1.738437e-01   1.738437e-01   1.738437e-01
-3.158509   1.774291e-01   1.774291e-01   1.774291e-01   1.774291e-01   1.774291e-01   1.774291e-01
-3.156210   1.809245e-01   1.809245e-01   1.809245e-01   1.809245e-01   1.809245e-01   1.809245e-01
-3.153911   1.843318e-01   1.843318e-01   1.843318e-01   1.843318e-01   1.843318e-01   1.843318e-01
-3.151612   1.876523e-01   1.876523e-01   1.876523e-01   1.876523e-01   1.876523e-01   1.876523e-01
-3.149314   1.908876e-01   1.908876e-01   1.908876e-01   1.908876e-01   1.908876e-01   1.908876e-01
-3.147015   1.940393e-01   1.940393e-01   1.940393e-01   1.940393e-01   1.940393e-01   1.940393e-01
-3.144716   1.971088e-01   1.971088e-01   1.971088e-01   1.971088e-01   1.971088e-01   1.971088e-01
-3.142418   2.000977e-01   2.000977e-01   2.000977e-01   2.000977e-01   2.000977e-01   2.000977e-01
-3.140119   2.030072e-01   2.030072e-01   2.030072e-01   2.030072e-01   2.030072e-01   2.030072e-01
-3.137820   2.058390e-01   2.058390e-01   2.058390e-01   2.058390e-01   2.058390e-01   2.058390e-01
-3.135521   2.085943e-01   2.085943e-01   2.085943e-01   2.085943e-01   2.085943e-01   2.085943e-01
-3.133223   2.112745e-01   2.112745e-01   2.112745e-01   2.112745e-01   2.112745e-01   2.112745e-01
-3.130924   2.138810e-01   2.138810e-01   2.138810e-01   2.138810e-01   2.138810e-01   2.138810e-01
-3.128625   2.164151e-01   2.164151e-01   2.164151e-01   2.164151e-01   2.164151e-01   2.164151e-01
-3.126326   2.188781e-01   2.188781e-01   2.188781e-01   2.188781e-01   2.188781e-01   2.188781e-01
-3.124028   2.212713e-01   2.212713e-01   2.212713e-01   2.212713e-01   2.212713e-01   2.212713e-01
-3.121729   2.235960e-01   2.235960e-01   2.235960e-01   2.235960e-01   2.235960e-01   2.235960e-01
-3.119430   2.258534e-01   2.258534e-01   2.258534e-01   2.258534e-01   2.258534e-01   2.258534e-01
-3.117131   2.280447e-01   2.280447e-01   2.280447e-01   2.280447e-01   2.280447e-01   2.280447e-01
-3.114833   2.301712e-01   2.301712e-01   2.301712e-01   2.301712e-01   2.301712e-01   2.301712e-01
-3.112534   2.322339e-01   2.322339e-01   2.322339e-01   2.322339e-01   2.322339e-01   2.322339e-01
-3.110235   2.342342e-01   2.342342e-01   2.342342e-01   2.342342e-01   2.342342e-01   2.342342e-01
-3.107937   2.361730e-01   2.361730e-01   2.361730e-01   2.361730e-01   2.361730e-01   2.361730e-01
-3.105638   2.380516e-01   2.380516e-01   2.380516e-01   2.380516e-01   2.380516e-01   2.380516e-01
-3.103339   2.398710e-01   2.398710e-01   2.398710e-01   2.398710e-01   2.398710e-01   2.398710e-01
-3.101040   2.416324e-01   2.416324e-01   2.416324e-01   2.416324e-01   2.416324e-01   2.416324e-01
-3.098742   2.433367e-01   2.433367e-01   2.433367e-01   2.433367e-01   2.433367e-01   2.433367e-01
-3.096443   2.449852e-01   2.449852e-01   2.449852e-01   2.449852e-01   2.449852e-01   2.449852e-01
-3.094144   2.465787e-01   2.465787e-01   2.465787e-01   2.465787e-01   2.465787e-01   2.465787e-01
-3.091845   2.485379e-01   2.485379e-01   2.485379e-01   2.485379e-01   2.485379e-01   2.485379e-01
-3.089547   2.509367e-01   2.509367e-01   2.509367e-01   2.509367e-01   2.509367e-01   2.509367e-01
-3.087248   2.532643e-01   2.532643e-01   2.532643e-01   2.532643e-01   2.532643e-01   2.532643e-01
-3.084949   2.566273e-01   2.566273e-01   2.566273e-01   2.566273e-01   2.566273e-01   2.566273e-01
-3.082651   2.603834e-01   2.603834e-01   2.603834e-01   2.603834e-01   2.603834e-01   2.603834e-01
-3.080352   2.646594e-01   2.646594e-01   2.646594e-01   2.646594e-01   2.646594e-01   2.646594e-01
-3.078053   2.704997e-01   2.704997e-01   2.704997e-01   2.704997e-01   2.704997e-01   2.704997e-01
-3.075754   2.761951e-01   2.761951e-01   2.761951e-01   2.761951e-01   2.761951e-01   2.761951e-01
-3.073456   2.820816e-01   2.820816e-01   2.820816e-01   2.820816e-01   2.820816e-01   2.820816e-01
-3.071157   2.879804e-01   2.879804e-01   2.879804e-01   2.879804e-01   2.879804e-01   2.879804e-01
-3.068858   2.937317e-01   2.937317e-01   2.937317e-01   2.937317e-01   2.937317e-01   2.937317e-01
-3.066559   2.993381e-01   2.993381e-01   2.993381e-01   2.993381e-01   2.993381e-01   2.993381e-01
-3.064261   3.048021e-01   3.048021e-01   3.048021e-01   3.048021e-01   3.048021e-01   3.048021e-01
-3.061962   3.101263e-01   3.101263e-01   3.101263e-01   3.101263e-01   3.101263e-01   3.101263e-01
-3.059663   3.153132e-01   3.153132e-01   3.153132e-01   3.153132e-01   3.153132e-01   3.153132e-01
-3.057364   3.203652e-01   3.203652e-01   3.203652e-01   3.203652e-01   3.203652e-01   3.203652e-01
-3.055066   3.252847e-01   3.252847e-01   3.252847e-01   3.252847e-01   3.252847e-01   3.252847e-01
-3.052767   3.300741e-01   3.300741e-01   3.300741e-01   3.300741e-01   3.300741e-01   3.300741e-01
-3.050468   3.347357e-01   3.347357e-01   3.347357e-01   3.347357e-01   3.347357e-01   3.347357e-01
-3.048170   3.392718e-01   3.392718e-01   3.392718e-01   3.392718e-01   3.392718e-01   3.392718e-01
-3.045871   3.436847e-01   3.436847e-01   3.436847e-01   3.436847e-01   3.436847e-01   3.436847e-01
-3.043572   3.479766e-01   3.479766e-01   3.479766e-01   3.479766e-01   3.479766e-01   3.479766e-01
-3.041273   3.521496e-01   3.521496e-01   3.521496e-01   3.521496e-01   3.521496e-01   3.521496e-01
-3.038975   3.562059e-01   3.562059e-01   3.562059e-01   3.562059e-01   3.562059e-01   3.562059e-01
-3.036676   3.601476e-01   3.601476e-01   3.601476e-01   3.601476e-01   3.601476e-01   3.601476e-01
-3.034377   3.639767e-01   3.639767e-01   3.639767e-01   3.639767e-01   3.639767e-01   3.639767e-01
-3.032078   3.676954e-01   3.676954e-01   3.676954e-01   3.676954e-01   3.676954e-01   3.676954e-01
-3.029780   3.713056e-01   3.713056e-01   3.713056e-01   3.713056e-01   3.713056e-01   3.713056e-01
-3.027481   3.748093e-01   3.748093e-01   3.748093e-01   3.748093e-01   3.748093e-01   3.748093e-01
-3.025182   3.782084e-01   3.782084e-01   3.782084e-01   3.782084e-01   3.782084e-01   3.782084e-01
-3.022884   3.815048e-01   3.815048e-01   3.815048e-01   3.815048e-01   3.815048e-01   3.815048e-01
-3.020585   3.847005e-01   3.847005e-01   3.847005e-01   3.847005e-01   3.847005e-01   3.847005e-01
-3.018286   3.877972e-01   3.877972e-01   3.877972e-01   3.877972e-01   3.877972e-01   3.877972e-01
-3.015987   3.907968e-01   3.907968e-01   3.907968e-01   3.907968e-01   3.907968e-01   3.907968e-01
-3.013689   3.937010e-01   3.937010e-01   3.937010e-01   3.937010e-01   3.937010e-01   3.937010e-01
-3.011390   3.965117e-01   3.965117e-01   3.965117e-01   3.965117e-01   3.965117e-01   3.965117e-01
-3.009091   3.992305e-01   3.992305e-01   3.992305e-01   3.992305e-01   3.992305e-01   3.992305e-01
-3.006792   4.018592e-01   4.018592e-01   4.018592e-01   4.018592e-01   4.018592e-01   4.018592e-01
-3.004494   4.045136e-01   4.045136e-01   4.045136e-01   4.045136e-01   4.045136e-01   4.045136e-01
-3.002195   4.077162e-01   4.077162e-01   4.077162e-01   4.077162e-01   4.077162e-01   4.077162e-01
-2.999896   4.108179e-01   4.108179e-01   4.108179e-01   4.108179e-01   4.108179e-01   4.108179e-01
-2.997597   4.143804e-01   4.143804e-01   4.143804e-01   4.143804e-01   4.143804e-01   4.143804e-01
-2.995299   4.184687e-01   4.184687e-01   4.184687e-01   4.184687e-01   4.184687e-01   4.184687e-01
-2.993000   4.227167e-01   4.227167e-01   4.227167e-01   4.227167e-01   4.227167e-01   4.227167e-01
-2.990701   4.283530e-01   4.283530e-01   4.283530e-01   4.283530e-01   4.283530e-01   4.283530e-01
-2.988403   4.340206e-01   4.340206e-01   4.340206e-01   4.340206e-01   4.340206e-01   4.340206e-01
-2.986104   4.396839e-01   4.396839e-01   4.396839e-01   4.396839e-01   4.396839e-01   4.396839e-01
-2.983805   4.454434e-01   4.454434e-01   4.454434e-01   4.454434e-01   4.454434e-01   4.454434e-01
-2.981506   4.510452e-01   4.510452e-01   4.510452e-01   4.510452e-01   4.510452e-01   4.510452e-01
-2.979208   4.564922e-01   4.564922e-01   4.564922e-01   4.564922e-01   4.564922e-01   4.564922e-01
