# Neutrino-Ar CEvNS cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-3.298731   3.465204e-02   3.465204e-02   3.465204e-02   3.465204e-02   3.465204e-02   3.465204e-02
-3.296433   3.548706e-02   3.548706e-02   3.548706e-02   3.548706e-02   3.548706e-02   3.548706e-02
-3.294134   3.630163e-02   3.630163e-02   3.630163e-02   3.630163e-02   3.630163e-02   3.630163e-02
-3.291835   3.709612e-02   3.709612e-02   3.709612e-02   3.709612e-02   3.709612e-02   3.709612e-02
-3.289536   3.787087e-02   3.787087e-02   3.787087e-02   3.787087e-02   3.787087e-02   3.787087e-02
-3.287238   3.862625e-02   3.862625e-02   3.862625e-02   3.862625e-02   3.862625e-02   3.862625e-02
-3.284939   3.936259e-02   3.936259e-02   3.936259e-02   3.936259e-02   3.936259e-02   3.936259e-02
-3.282640   4.008023e-02   4.008023e-02   4.008023e-02   4.008023e-02   4.008023e-02   4.008023e-02
-3.280341   4.077950e-02   4.077950e-02   4.077950e-02   4.077950e-02   4.077950e-02   4.077950e-02
-3.278043   4.146074e-02   4.146074e-02   4.146074e-02   4.146074e-02   4.146074e-02   4.146074e-02
-3.275744   4.212425e-02   4.212425e-02   4.212425e-02   4.212425e-02   4.212425e-02   4.212425e-02
-3.273445   4.277036e-02   4.277036e-02   4.277036e-02   4.277036e-02   4.277036e-02   4.277036e-02
-3.271146   4.339938e-02   4.339938e-02   4.339938e-02   4.339938e-02   4.339938e-02   4.339938e-02
-3.268848   4.401161e-02   4.401161e-02   4.401161e-02   4.401161e-02   4.401161e-02   4.401161e-02
-3.266549   4.460735e-02   4.460735e-02   4.460735e-02   4.460735e-02   4.460735e-02   4.460735e-02
-3.264250   4.518690e-02   4.518690e-02   4.518690e-02   4.518690e-02   4.518690e-02   4.518690e-02
-3.261952   4.575056e-02   4.575056e-02   4.575056e-02   4.575056e-02   4.575056e-02   4.575056e-02
-3.259653   4.629860e-02   4.629860e-02   4.629860e-02   4.629860e-02   4.629860e-02   4.629860e-02
-3.257354   4.683131e-02   4.683131e-02   4.683131e-02   4.683131e-02   4.683131e-02   4.683131e-02
-3.255055   4.734896e-02   4.734896e-02   4.734896e-02   4.734896e-02   4.734896e-02   4.734896e-02
-3.252757   4.785184e-02   4.785184e-02   4.785184e-02   4.785184e-02   4.785184e-02   4.785184e-02
-3.250458   4.834020e-02   4.834020e-02   4.834020e-02   4.834020e-02   4.834020e-02   4.834020e-02
-3.248159   4.881430e-02   4.881430e-02   4.881430e-02   4.881430e-02   4.881430e-02   4.881430e-02
-3.245860   4.927442e-02   4.927442e-02   4.927442e-02   4.927442e-02   4.927442e-02   4.927442e-02
-3.243562   4.972080e-02   4.972080e-02   4.972080e-02   4.972080e-02   4.972080e-02   4.972080e-02
-3.241263   5.015369e-02   5.015369e-02   5.015369e-02   5.015369e-02   5.015369e-02   5.015369e-02
