# Neutrino-Ge CEvNS cross section (10^-38 cm^2/GeV, natural abundance) # 
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 

-3.298731   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.296433   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.294134   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.291835   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.289536   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.287238   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.284939   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.282640   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.280341   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.278043   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.275744   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.273445   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.271146   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.268848   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.266549   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.264250   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.261952   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.259653   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.257354   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.255055   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.252757   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.250458   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.248159   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.245860   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.243562   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
-3.241263   1.213451e-03   1.213451e-03   1.213451e-03   1.213451e-03   1.213451e-03   1.213451e-03
-3.238964   2.490192e-03   2.490192e-03   2.490192e-03   2.490192e-03   2.490192e-03   2.490192e-03
-3.236666   4.277395e-03   4.277395e-03   4.277395e-03   4.277395e-03   4.277395e-03   4.277395e-03
-3.234367   7.455618e-03   7.455618e-03   7.455618e-03   7.455618e-03   7.455618e-03   7.455618e-03
-3.232068   1.112952e-02   1.112952e-02   1.112952e-02   1.112952e-02   1.112952e-02   1.112952e-02
-3.229769   1.673010e-02   1.673010e-02   1.673010e-02   1.673010e-02   1.673010e-02   1.673010e-02
-3.227471   2.317410e-02   2.317410e-02   2.317410e-02   2.317410e-02   2.317410e-02   2.317410e-02
-3.225172   2.958851e-02   2.958851e-02   2.958851e-02   2.958851e-02   2.958851e-02   2.958851e-02
-3.222873   3.645522e-02   3.645522e-02   3.645522e-02   3.645522e-02   3.645522e-02   3.645522e-02
-3.220574   4.317504e-02   4.317504e-02   4.317504e-02   4.317504e-02   4.317504e-02   4.317504e-02
-3.218276   4.975050e-02   4.975050e-02   4.975050e-02   4.975050e-02   4.975050e-02   4.975050e-02
-3.215977   5.618407e-02   5.618407e-02   5.618407e-02   5.618407e-02   5.618407e-02   5.618407e-02
-3.213678   6.247819e-02   6.247819e-02   6.247819e-02   6.247819e-02   6.247819e-02   6.247819e-02
-3.211379   6.863525e-02   6.863525e-02   6.863525e-02   6.863525e-02   6.863525e-02   6.863525e-02
-3.209081   7.465761e-02   7.465761e-02   7.465761e-02   7.465761e-02   7.465761e-02   7.465761e-02
-3.206782   8.054760e-02   8.054760e-02   8.054760e-02   8.054760e-02   8.054760e-02   8.054760e-02
-3.204483   8.630750e-02   8.630750e-02   8.630750e-02   8.630750e-02   8.630750e-02   8.630750e-02
-3.202185   9.193956e-02   9.193956e-02   9.193956e-02   9.193956e-02   9.193956e-02   9.193956e-02
-3.199886   9.744598e-02   9.744598e-02   9.744598e-02   9.744598e-02   9.744598e-02   9.744598e-02
-3.197587   1.028289e-01   1.028289e-01   1.028289e-01   1.028289e-01   1.028289e-01   1.028289e-01
-3.195288   1.080906e-01   1.080906e-01   1.080906e-01   1.080906e-01   1.080906e-01   1.080906e-01
-3.192990   1.132330e-01   1.132330e-01   1.132330e-01   1.132330e-01   1.132330e-01   1.132330e-01
-3.190691   1.182583e-01   1.182583e-01   1.182583e-01   1.182583e-01   1.182583e-01   1.182583e-01
-3.188392   1.231684e-01   1.231684e-01   1.231684e-01   1.231684e-01   1.231684e-01   1.231684e-01
-3.186093   1.279655e-01   1.279655e-01   1.279655e-01   1.279655e-01   1.279655e-01   1.279655e-01
-3.183795   1.326514e-01   1.326514e-01   1.326514e-01   1.326514e-01   1.326514e-01   1.326514e-01
-3.181496   1.372281e-01   1.372281e-01   1.372281e-01   1.372281e-01   1.372281e-01   1.372281e-01
-3.179197   1.416975e-01   1.416975e-01   1.416975e-01   1.416975e-01   1.416975e-01   1.416975e-01
-3.176899   1.460615e-01   1.460615e-01   1.460615e-01   1.460615e-01   1.460615e-01   1.460615e-01
-3.174600   1.503220e-01   1.503220e-01   1.503220e-01   1.503220e-01   1.503220e-01   1.503220e-01
-3.172301   1.544807e-01   1.544807e-01   1.544807e-01   1.544807e-01   1.544807e-01   1.544807e-01
-3.170002   1.585394e-01   1.585394e-01   1.585394e-01   1.585394e-01   1.585394e-01   1.585394e-01
-3.167704   1.624999e-01   1.624999e-01   1.624999e-01   1.624999e-01   1.624999e-01   1.624999e-01
-3.165405   1.663639e-01   1.663639e-01   1.663639e-01   1.663639e-01   1.663639e-01   1.663639e-01
-3.163106   1.701331e-01   1.701331e-01   1.701331e-01   1.701331e-01   1.701331e-01   1.701331e-01
-3.160807   1.738092e-01   1.738092e-01   1.738092e-01   1.738092e-01   1.738092e-01   1.738092e-01
-3.158509   1.773939e-01   1.773939e-01   1.773939e-01   1.773939e-01   1.773939e-01   1.773939e-01
-3.156210   1.808887e-01   1.808887e-01   1.808887e-01   1.808887e-01   1.808887e-01   1.808887e-01
-3.153911   1.842952e-01   1.842952e-01   1.842952e-01   1.842952e-01   1.842952e-01   1.842952e-01
-3.151612   1.876151e-01   1.876151e-01   1.876151e-01   1.876151e-01   1.876151e-01   1.876151e-01
-3.149314   1.908498e-01   1.908498e-01   1.908498e-01   1.908498e-01   1.908498e-01   1.908498e-01
-3.147015   1.940008e-01   1.940008e-01   1.940008e-01   1.940008e-01   1.940008e-01   1.940008e-01
-3.144716   1.970697e-01   1.970697e-01   1.970697e-01   1.970697e-01   1.970697e-01   1.970697e-01
-3.142418   2.000580e-01   2.000580e-01   2.000580e-01   2.000580e-01   2.000580e-01   2.000580e-01
-3.140119   2.029670e-01   2.029670e-01   2.029670e-01   2.029670e-01   2.029670e-01   2.029670e-01
-3.137820   2.057981e-01   2.057981e-01   2.057981e-01   2.057981e-01   2.057981e-01   2.057981e-01
-3.135521   2.085529e-01   2.085529e-01   2.085529e-01   2.085529e-01   2.085529e-01   2.085529e-01
-3.133223   2.112326e-01   2.112326e-01   2.112326e-01   2.112326e-01   2.112326e-01   2.112326e-01
-3.130924   2.138386e-01   2.138386e-01   2.138386e-01   2.138386e-01   2.138386e-01   2.138386e-01
-3.128625   2.163722e-01   2.163722e-01   2.163722e-01   2.163722e-01   2.163722e-01   2.163722e-01
-3.126326   2.188347e-01   2.188347e-01   2.188347e-01   2.188347e-01   2.188347e-01   2.188347e-01
-3.124028   2.212275e-01   2.212275e-01   2.212275e-01   2.212275e-01   2.212275e-01   2.212275e-01
-3.121729   2.235517e-01   2.235517e-01   2.235517e-01   2.235517e-01   2.235517e-01   2.235517e-01
-3.119430   2.258086e-01   2.258086e-01   2.258086e-01   2.258086e-01   2.258086e-01   2.258086e-01
-3.117131   2.279995e-01   2.279995e-01   2.279995e-01   2.279995e-01   2.279995e-01   2.279995e-01
-3.114833   2.301255e-01   2.301255e-01   2.301255e-01   2.301255e-01   2.301255e-01   2.301255e-01
-3.112534   2.321879e-01   2.321879e-01   2.321879e-01   2.321879e-01   2.321879e-01   2.321879e-01
-3.110235   2.341877e-01   2.341877e-01   2.341877e-01   2.341877e-01   2.341877e-01   2.341877e-01
-3.107937   2.361261e-01   2.361261e-01   2.361261e-01   2.361261e-01   2.361261e-01   2.361261e-01
-3.105638   2.380044e-01   2.380044e-01   2.380044e-01   2.380044e-01   2.380044e-01   2.380044e-01
-3.103339   2.398234e-01   2.398234e-01   2.398234e-01   2.398234e-01   2.398234e-01   2.398234e-01
-3.101040   2.415844e-01   2.415844e-01   2.415844e-01   2.415844e-01   2.415844e-01   2.415844e-01
-3.098742   2.432885e-01   2.432885e-01   2.432885e-01   2.432885e-01   2.432885e-01   2.432885e-01
-3.096443   2.449366e-01   2.449366e-01   2.449366e-01   2.449366e-01   2.449366e-01   2.449366e-01
-3.094144   2.465298e-01   2.465298e-01   2.465298e-01   2.465298e-01   2.465298e-01   2.465298e-01
-3.091845   2.484885e-01   2.484885e-01   2.484885e-01   2.484885e-01   2.484885e-01   2.484885e-01
-3.089547   2.508866e-01   2.508866e-01   2.508866e-01   2.508866e-01   2.508866e-01   2.508866e-01
-3.087248   2.532137e-01   2.532137e-01   2.532137e-01   2.532137e-01   2.532137e-01   2.532137e-01
-3.084949   2.565756e-01   2.565756e-01   2.565756e-01   2.565756e-01   2.565756e-01   2.565756e-01
-3.082651   2.603305e-01   2.603305e-01   2.603305e-01   2.603305e-01   2.603305e-01   2.603305e-01
-3.080352   2.646051e-01   2.646051e-01   2.646051e-01   2.646051e-01   2.646051e-01   2.646051e-01
-3.078053   2.704433e-01   2.704433e-01   2.704433e-01   2.704433e-01   2.704433e-01   2.704433e-01
-3.075754   2.761367e-01   2.761367e-01   2.761367e-01   2.761367e-01   2.761367e-01   2.761367e-01
-3.073456   2.820210e-01   2.820210e-01   2.820210e-01   2.820210e-01   2.820210e-01   2.820210e-01
-3.071157   2.879177e-01   2.879177e-01   2.879177e-01   2.879177e-01   2.879177e-01   2.879177e-01
-3.068858   2.936670e-01   2.936670e-01   2.936670e-01   2.936670e-01   2.936670e-01   2.936670e-01
-3.066559   2.992713e-01   2.992713e-01   2.992713e-01   2.992713e-01   2.992713e-01   2.992713e-01
-3.064261   3.047334e-01   3.047334e-01   3.047334e-01   3.047334e-01   3.047334e-01   3.047334e-01
-3.061962   3.100556e-01   3.100556e-01   3.100556e-01   3.100556e-01   3.100556e-01   3.100556e-01
-3.059663   3.152406e-01   3.152406e-01   3.152406e-01   3.152406e-01   3.152406e-01   3.152406e-01
-3.057364   3.202908e-01   3.202908e-01   3.202908e-01   3.202908e-01   3.202908e-01   3.202908e-01
-3.055066   3.252085e-01   3.252085e-01   3.252085e-01   3.252085e-01   3.252085e-01   3.252085e-01
-3.052767   3.299962e-01   3.299962e-01   3.299962e-01   3.299962e-01   3.299962e-01   3.299962e-01
-3.050468   3.346561e-01   3.346561e-01   3.346561e-01   3.346561e-01   3.346561e-01   3.346561e-01
-3.048170   3.391905e-01   3.391905e-01   3.391905e-01   3.391905e-01   3.391905e-01   3.391905e-01
-3.045871   3.436018e-01   3.436018e-01   3.436018e-01   3.436018e-01   3.436018e-01   3.436018e-01
-3.043572   3.478921e-01   3.478921e-01   3.478921e-01   3.478921e-01   3.478921e-01   3.478921e-01
-3.041273   3.520635e-01   3.520635e-01   3.520635e-01   3.520635e-01   3.520635e-01   3.520635e-01
-3.038975   3.561183e-01   3.561183e-01   3.561183e-01   3.561183e-01   3.561183e-01   3.561183e-01
-3.036676   3.600585e-01   3.600585e-01   3.600585e-01   3.600585e-01   3.600585e-01   3.600585e-01
-3.034377   3.638863e-01   3.638863e-01   3.638863e-01   3.638863e-01   3.638863e-01   3.638863e-01
-3.032078   3.676035e-01   3.676035e-01   3.676035e-01   3.676035e-01   3.676035e-01   3.676035e-01
-3.029780   3.712124e-01   3.712124e-01   3.712124e-01   3.712124e-01   3.712124e-01   3.712124e-01
-3.027481   3.747147e-01   3.747147e-01   3.747147e-01   3.747147e-01   3.747147e-01   3.747147e-01
-3.025182   3.781126e-01   3.781126e-01   3.781126e-01   3.781126e-01   3.781126e-01   3.781126e-01
-3.022884   3.814078e-01   3.814078e-01   3.814078e-01   3.814078e-01   3.814078e-01   3.814078e-01
-3.020585   3.846022e-01   3.846022e-01   3.846022e-01   3.846022e-01   3.846022e-01   3.846022e-01
-3.018286   3.876977e-01   3.876977e-01   3.876977e-01   3.876977e-01   3.876977e-01   3.876977e-01
-3.015987   3.906962e-01   3.906962e-01   3.906962e-01   3.906962e-01   3.906962e-01   3.906962e-01
-3.013689   3.935993e-01   3.935993e-01   3.935993e-01   3.935993e-01   3.935993e-01   3.935993e-01
-3.011390   3.964089e-01   3.964089e-01   3.964089e-01   3.964089e-01   3.964089e-01   3.964089e-01
-3.009091   3.991267e-01   3.991267e-01   3.991267e-01   3.991267e-01   3.991267e-01   3.991267e-01
-3.006792   4.017543e-01   4.017543e-01   4.017543e-01   4.017543e-01   4.017543e-01   4.017543e-01
-3.004494   4.044077e-01   4.044077e-01   4.044077e-01   4.044077e-01   4.044077e-01   4.044077e-01
-3.002195   4.076090e-01   4.076090e-01   4.076090e-01   4.076090e-01   4.076090e-01   4.076090e-01
-2.999896   4.107093e-01   4.107093e-01   4.107093e-01   4.107093e-01   4.107093e-01   4.107093e-01
-2.997597   4.142701e-01   4.142701e-01   4.142701e-01   4.142701e-01   4.142701e-01   4.142701e-01
-2.995299   4.183564e-01   4.183564e-01   4.183564e-01   4.183564e-01   4.183564e-01   4.183564e-01
-2.993000   4.226024e-01   4.226024e-01   4.226024e-01   4.226024e-01   4.226024e-01   4.226024e-01
-2.990701   4.282357e-01   4.282357e-01   4.282357e-01   4.282357e-01   4.282357e-01   4.282357e-01
-2.988403   4.339003e-01   4.339003e-01   4.339003e-01   4.339003e-01   4.339003e-01   4.339003e-01
-2.986104   4.395606e-01   4.395606e-01   4.395606e-01   4.395606e-01   4.395606e-01   4.395606e-01
-2.983805   4.453170e-01   4.453170e-01   4.453170e-01   4.453170e-01   4.453170e-01   4.453170e-01
-2.981506   4.509158e-01   4.509158e-01   4.509158e-01   4.509158e-01   4.509158e-01   4.509158e-01
-2.979208   4.563598e-01   4.563598e-01   4.563598e-01   4.563598e-01   4.563598e-01   4.563598e-01
