# IBD cross section (10^-38 cm^2/GeV) #   From Strumia & Vissani astro-ph/0302055v2
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar # 
 

-3.30103  0 0 0 0 0 0 
-3.29873  0 0 0 0 0 0 
-3.29643  0 0 0 0 0 0 
-3.29413  0 0 0 0 0 0 
-3.29183  0 0 0 0 0 0 
-3.28952  0 0 0 0 0 0 
-3.28722  0 0 0 0 0 0 
-3.28492  0 0 0 0 0 0 
-3.28262  0 0 0 0 0 0 
-3.28032  0 0 0 0 0 0 
-3.27802  0 0 0 0 0 0 
-3.27572  0 0 0 0 0 0 
-3.27342  0 0 0 0 0 0 
-3.27112  0 0 0 0 0 0 
-3.26882  0 0 0 0 0 0 
-3.26651  0 0 0 0 0 0 
-3.26421  0 0 0 0 0 0 
-3.26191  0 0 0 0 0 0 
-3.25961  0 0 0 0 0 0 
-3.25731  0 0 0 0 0 0 
-3.25501  0 0 0 0 0 0 
-3.25271  0 0 0 0 0 0 
-3.25041  0 0 0 0 0 0 
-3.24811  0 0 0 0 0 0 
-3.24581  0 0 0 0 0 0 
-3.2435  0 0 0 0 0 0 
-3.2412  0 0 0 0 0 0 
-3.2389  0 0 0 0 0 0 
-3.2366  0 0 0 0 0 0 
-3.2343  0 0 0 0 0 0 
-3.232  0 0 0 0 0 0 
-3.2297  0 0 0 0 0 0 
-3.2274  0 0 0 0 0 0 
-3.2251  0 0 0 0 0 0 
-3.22279  0 0 0 0 0 0 
-3.22049  0 0 0 0 0 0 
-3.21819  0 0 0 0 0 0 
-3.21589  0 0 0 0 0 0 
-3.21359  0 0 0 0 0 0 
-3.21129  0 0 0 0 0 0 
-3.20899  0 0 0 0 0 0 
-3.20669  0 0 0 0 0 0 
-3.20439  0 0 0 0 0 0 
-3.20209  0 0 0 0 0 0 
-3.19978  0 0 0 0 0 0 
-3.19748  0 0 0 0 0 0 
-3.19518  0 0 0 0 0 0 
-3.19288  0 0 0 0 0 0 
-3.19058  0 0 0 0 0 0 
-3.18828  0 0 0 0 0 0 
-3.18598  0 0 0 0 0 0 
-3.18368  0 0 0 0 0 0 
-3.18138  0 0 0 0 0 0 
-3.17908  0 0 0 0 0 0 
-3.17677  0 0 0 0 0 0 
-3.17447  0 0 0 0 0 0 
-3.17217  0 0 0 0 0 0 
-3.16987  0 0 0 0 0 0 
-3.16757  0 0 0 0 0 0 
-3.16527  0 0 0 0 0 0 
-3.16297  0 0 0 0 0 0 
-3.16067  0 0 0 0 0 0 
-3.15837  0 0 0 0 0 0 
-3.15607  0 0 0 0 0 0 
-3.15376  0 0 0 0 0 0 
-3.15146  0 0 0 0 0 0 
-3.14916  0 0 0 0 0 0 
-3.14686  0 0 0 0 0 0 
-3.14456  0 0 0 0 0 0 
-3.14226  0 0 0 0 0 0 
-3.13996  0 0 0 0 0 0 
-3.13766  0 0 0 0 0 0 
-3.13536  0 0 0 0 0 0 
-3.13305  0 0 0 0 0 0 
-3.13075  0 0 0 0 0 0 
-3.12845  0 0 0 0 0 0 
-3.12615  0 0 0 0 0 0 
-3.12385  0 0 0 0 0 0 
-3.12155  0 0 0 0 0 0 
-3.11925  0 0 0 0 0 0 
-3.11695  0 0 0 0 0 0 
-3.11465  0 0 0 0 0 0 
-3.11235  0 0 0 0 0 0 
-3.11004  0 0 0 0 0 0 
-3.10774  0 0 0 0 0 0 
-3.10544  0 0 0 0 0 0 
-3.10314  0 0 0 0 0 0 
-3.10084  0 0 0 0 0 0 
-3.09854  0 0 0 0 0 0 
-3.09624  0 0 0 0 0 0 
-3.09394  0 0 0 0 0 0 
-3.09164  0 0 0 0 0 0 
-3.08934  0 0 0 0 0 0 
-3.08703  0 0 0 0 0 0 
-3.08473  0 0 0 0 0 0 
-3.08243  0 0 0 0 0 0 
-3.08013  0 0 0 0 0 0 
-3.07783  0 0 0 0 0 0 
-3.07553  0 0 0 0 0 0 
-3.07323  0 0 0 0 0 0 
-3.07093  0 0 0 0 0 0 
-3.06863  0 0 0 0 0 0 
-3.06632  0 0 0 0 0 0 
-3.06402  0 0 0 0 0 0 
-3.06172  0 0 0 0 0 0 
-3.05942  0 0 0 0 0 0 
-3.05712  0 0 0 0 0 0 
-3.05482  0 0 0 0 0 0 
-3.05252  0 0 0 0 0 0 
-3.05022  0 0 0 0 0 0 
-3.04792  0 0 0 0 0 0 
-3.04562  0 0 0 0 0 0 
-3.04331  0 0 0 0 0 0 
-3.04101  0 0 0 0 0 0 
-3.03871  0 0 0 0 0 0 
-3.03641  0 0 0 0 0 0 
-3.03411  0 0 0 0 0 0 
-3.03181  0 0 0 0 0 0 
-3.02951  0 0 0 0 0 0 
-3.02721  0 0 0 0 0 0 
-3.02491  0 0 0 0 0 0 
-3.02261  0 0 0 0 0 0 
-3.0203  0 0 0 0 0 0 
-3.018  0 0 0 0 0 0 
-3.0157  0 0 0 0 0 0 
-3.0134  0 0 0 0 0 0 
-3.0111  0 0 0 0 0 0 
-3.0088  0 0 0 0 0 0 
-3.0065  0 0 0 0 0 0 
-3.0042  0 0 0 0 0 0 
-3.0019  0 0 0 0 0 0 
-2.9996  0 0 0 0 0 0 
-2.99729  0 0 0 0 0 0 
-2.99499  0 0 0 0 0 0 
-2.99269  0 0 0 0 0 0 
-2.99039  0 0 0 0 0 0 
-2.98809  0 0 0 0 0 0 
-2.98579  0 0 0 0 0 0 
-2.98349  0 0 0 0 0 0 
-2.98119  0 0 0 0 0 0 
-2.97889  0 0 0 0 0 0 
-2.97658  0 0 0 0 0 0 
-2.97428  0 0 0 0 0 0 
-2.97198  0 0 0 0 0 0 
-2.96968  0 0 0 0 0 0 
-2.96738  0 0 0 0 0 0 
-2.96508  0 0 0 0 0 0 
-2.96278  0 0 0 0 0 0 
-2.96048  0 0 0 0 0 0 
-2.95818  0 0 0 0 0 0 
-2.95588  0 0 0 0 0 0 
-2.95357  0 0 0 0 0 0 
-2.95127  0 0 0 0 0 0 
-2.94897  0 0 0 0 0 0 
-2.94667  0 0 0 0 0 0 
-2.94437  0 0 0 0 0 0 
-2.94207  0 0 0 0 0 0 
-2.93977  0 0 0 0 0 0 
-2.93747  0 0 0 0 0 0 
-2.93517  0 0 0 0 0 0 
-2.93287  0 0 0 0 0 0 
-2.93056  0 0 0 0 0 0 
-2.92826  0 0 0 0 0 0 
-2.92596  0 0 0 0 0 0 
-2.92366  0 0 0 0 0 0 
-2.92136  0 0 0 0 0 0 
-2.91906  0 0 0 0 0 0 
-2.91676  0 0 0 0 0 0 
-2.91446  0 0 0 0 0 0 
-2.91216  0 0 0 0 0 0 
-2.90985  0 0 0 0 0 0 
-2.90755  0 0 0 0 0 0 
-2.90525  0 0 0 0 0 0 
-2.90295  0 0 0 0 0 0 
-2.90065  0 0 0 0 0 0 
-2.89835  0 0 0 0 0 0 
-2.89605  0 0 0 0 0 0 
-2.89375  0 0 0 0 0 0 
-2.89145  0 0 0 0 0 0 
-2.88915  0 0 0 0 0 0 
-2.88684  0 0 0 0 0 0 
-2.88454  0 0 0 0 0 0 
-2.88224  0 0 0 0 0 0 
-2.87994  0 0 0 0 0 0 
-2.87764  0 0 0 0 0 0 
-2.87534  0 0 0 0 0 0 
-2.87304  0 0 0 0 0 0 
-2.87074  0 0 0 0 0 0 
-2.86844  0 0 0 0 0 0 
-2.86614  0 0 0 0 0 0 
-2.86383  0 0 0 0 0 0 
-2.86153  0 0 0 0 0 0 
-2.85923  0 0 0 0 0 0 
-2.85693  0 0 0 0 0 0 
-2.85463  0 0 0 0 0 0 
-2.85233  0 0 0 0 0 0 
-2.85003  0 0 0 0 0 0 
-2.84773  0 0 0 0 0 0 
-2.84543  0 0 0 0 0 0 
-2.84313  0 0 0 0 0 0 
-2.84082  0 0 0 0 0 0 
-2.83852  0 0 0 0 0 0 
-2.83622  0 0 0 0 0 0 
-2.83392  0 0 0 0 0 0 
-2.83162  0 0 0 0 0 0 
-2.82932  0 0 0 0 0 0 
-2.82702  0 0 0 0 0 0 
-2.82472  0 0 0 0 0 0 
-2.82242  0 0 0 0 0 0 
-2.82011  0 0 0 0 0 0 
-2.81781  0 0 0 0 0 0 
-2.81551  0 0 0 0 0 0 
-2.81321  0 0 0 0 0 0 
-2.81091  0 0 0 0 0 0 
-2.80861  0 0 0 0 0 0 
