# Neutrino-40Ar neutral current cross section (10^-38 cm^2/GeV) #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-2.008774  6.156993e-08  6.156993e-08  6.156993e-08  6.156993e-08  6.156993e-08  6.156993e-08
-2.007464  1.751675e-07  1.751675e-07  1.751675e-07  1.751675e-07  1.751675e-07  1.751675e-07
-2.006154  3.464974e-07  3.464974e-07  3.464974e-07  3.464974e-07  3.464974e-07  3.464974e-07
-2.004845  5.757501e-07  5.757501e-07  5.757501e-07  5.757501e-07  5.757501e-07  5.757501e-07
-2.003535  8.629274e-07  8.629274e-07  8.629274e-07  8.629274e-07  8.629274e-07  8.629274e-07
-2.002225  1.208032e-06  1.208032e-06  1.208032e-06  1.208032e-06  1.208032e-06  1.208032e-06
-2.000915  1.611067e-06  1.611067e-06  1.611067e-06  1.611067e-06  1.611067e-06  1.611067e-06
-1.999605  2.072037e-06  2.072037e-06  2.072037e-06  2.072037e-06  2.072037e-06  2.072037e-06
-1.998295  2.590944e-06  2.590944e-06  2.590944e-06  2.590944e-06  2.590944e-06  2.590944e-06
-1.996986  3.167795e-06  3.167795e-06  3.167795e-06  3.167795e-06  3.167795e-06  3.167795e-06
-1.995676  3.802594e-06  3.802594e-06  3.802594e-06  3.802594e-06  3.802594e-06  3.802594e-06
-1.994366  4.495347e-06  4.495347e-06  4.495347e-06  4.495347e-06  4.495347e-06  4.495347e-06
-1.993056  5.246061e-06  5.246061e-06  5.246061e-06  5.246061e-06  5.246061e-06  5.246061e-06
-1.991746  6.054741e-06  6.054741e-06  6.054741e-06  6.054741e-06  6.054741e-06  6.054741e-06
-1.990437  6.921397e-06  6.921397e-06  6.921397e-06  6.921397e-06  6.921397e-06  6.921397e-06
-1.989127  7.846034e-06  7.846034e-06  7.846034e-06  7.846034e-06  7.846034e-06  7.846034e-06
-1.987817  8.828663e-06  8.828663e-06  8.828663e-06  8.828663e-06  8.828663e-06  8.828663e-06
-1.986507  9.869291e-06  9.869291e-06  9.869291e-06  9.869291e-06  9.869291e-06  9.869291e-06
-1.985197  1.096793e-05  1.096793e-05  1.096793e-05  1.096793e-05  1.096793e-05  1.096793e-05
-1.983888  1.212459e-05  1.212459e-05  1.212459e-05  1.212459e-05  1.212459e-05  1.212459e-05
-1.982578  1.333927e-05  1.333927e-05  1.333927e-05  1.333927e-05  1.333927e-05  1.333927e-05
-1.981268  1.461200e-05  1.461200e-05  1.461200e-05  1.461200e-05  1.461200e-05  1.461200e-05
-1.979958  1.594278e-05  1.594278e-05  1.594278e-05  1.594278e-05  1.594278e-05  1.594278e-05
-1.978648  1.733162e-05  1.733162e-05  1.733162e-05  1.733162e-05  1.733162e-05  1.733162e-05
-1.977339  1.877855e-05  1.877855e-05  1.877855e-05  1.877855e-05  1.877855e-05  1.877855e-05
-1.976029  2.028356e-05  2.028356e-05  2.028356e-05  2.028356e-05  2.028356e-05  2.028356e-05
-1.974719  2.184667e-05  2.184667e-05  2.184667e-05  2.184667e-05  2.184667e-05  2.184667e-05
-1.973409  2.346791e-05  2.346791e-05  2.346791e-05  2.346791e-05  2.346791e-05  2.346791e-05
-1.972099  2.514727e-05  2.514727e-05  2.514727e-05  2.514727e-05  2.514727e-05  2.514727e-05
-1.970790  2.688479e-05  2.688479e-05  2.688479e-05  2.688479e-05  2.688479e-05  2.688479e-05
-1.969480  2.868047e-05  2.868047e-05  2.868047e-05  2.868047e-05  2.868047e-05  2.868047e-05
-1.968170  3.053433e-05  3.053433e-05  3.053433e-05  3.053433e-05  3.053433e-05  3.053433e-05
-1.966860  3.244639e-05  3.244639e-05  3.244639e-05  3.244639e-05  3.244639e-05  3.244639e-05
-1.965550  3.441666e-05  3.441666e-05  3.441666e-05  3.441666e-05  3.441666e-05  3.441666e-05
-1.964241  3.644516e-05  3.644516e-05  3.644516e-05  3.644516e-05  3.644516e-05  3.644516e-05
-1.962931  3.853192e-05  3.853192e-05  3.853192e-05  3.853192e-05  3.853192e-05  3.853192e-05
-1.961621  4.067694e-05  4.067694e-05  4.067694e-05  4.067694e-05  4.067694e-05  4.067694e-05
-1.960311  4.288026e-05  4.288026e-05  4.288026e-05  4.288026e-05  4.288026e-05  4.288026e-05
-1.959001  4.514188e-05  4.514188e-05  4.514188e-05  4.514188e-05  4.514188e-05  4.514188e-05
-1.957692  4.746183e-05  4.746183e-05  4.746183e-05  4.746183e-05  4.746183e-05  4.746183e-05
-1.956382  4.984014e-05  4.984014e-05  4.984014e-05  4.984014e-05  4.984014e-05  4.984014e-05
-1.955072  5.227682e-05  5.227682e-05  5.227682e-05  5.227682e-05  5.227682e-05  5.227682e-05
-1.953762  5.477189e-05  5.477189e-05  5.477189e-05  5.477189e-05  5.477189e-05  5.477189e-05
