# Neutrino-40Ar neutral current cross section (10^-38 cm^2/GeV) #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-2.008774  6.156993e-08  6.156993e-08  6.156993e-08  6.156993e-08  6.156993e-08  6.156993e-08
-2.007765  1.439767e-07  1.439767e-07  1.439767e-07  1.439767e-07  1.439767e-07  1.439767e-07
-2.006756  2.605514e-07  2.605514e-07  2.605514e-07  2.605514e-07  2.605514e-07  2.605514e-07
-2.005748  4.114833e-07  4.114833e-07  4.114833e-07  4.114833e-07  4.114833e-07  4.114833e-07
-2.004739  5.967731e-07  5.967731e-07  5.967731e-07  5.967731e-07  5.967731e-07  5.967731e-07
-2.003730  8.164220e-07  8.164220e-07  8.164220e-07  8.164220e-07  8.164220e-07  8.164220e-07
-2.002721  1.070431e-06  1.070431e-06  1.070431e-06  1.070431e-06  1.070431e-06  1.070431e-06
-2.001713  1.358802e-06  1.358802e-06  1.358802e-06  1.358802e-06  1.358802e-06  1.358802e-06
-2.000704  1.681535e-06  1.681535e-06  1.681535e-06  1.681535e-06  1.681535e-06  1.681535e-06
-1.999695  2.038634e-06  2.038634e-06  2.038634e-06  2.038634e-06  2.038634e-06  2.038634e-06
-1.998686  2.430099e-06  2.430099e-06  2.430099e-06  2.430099e-06  2.430099e-06  2.430099e-06
-1.997677  2.855933e-06  2.855933e-06  2.855933e-06  2.855933e-06  2.855933e-06  2.855933e-06
-1.996669  3.316139e-06  3.316139e-06  3.316139e-06  3.316139e-06  3.316139e-06  3.316139e-06
-1.995660  3.810718e-06  3.810718e-06  3.810718e-06  3.810718e-06  3.810718e-06  3.810718e-06
-1.994651  4.339673e-06  4.339673e-06  4.339673e-06  4.339673e-06  4.339673e-06  4.339673e-06
-1.993642  4.903008e-06  4.903008e-06  4.903008e-06  4.903008e-06  4.903008e-06  4.903008e-06
-1.992634  5.500724e-06  5.500724e-06  5.500724e-06  5.500724e-06  5.500724e-06  5.500724e-06
-1.991625  6.132827e-06  6.132827e-06  6.132827e-06  6.132827e-06  6.132827e-06  6.132827e-06
-1.990616  6.799318e-06  6.799318e-06  6.799318e-06  6.799318e-06  6.799318e-06  6.799318e-06
-1.989607  7.500201e-06  7.500201e-06  7.500201e-06  7.500201e-06  7.500201e-06  7.500201e-06
-1.988598  8.235481e-06  8.235481e-06  8.235481e-06  8.235481e-06  8.235481e-06  8.235481e-06
-1.987590  9.005161e-06  9.005161e-06  9.005161e-06  9.005161e-06  9.005161e-06  9.005161e-06
-1.986581  9.809246e-06  9.809246e-06  9.809246e-06  9.809246e-06  9.809246e-06  9.809246e-06
-1.985572  1.064774e-05  1.064774e-05  1.064774e-05  1.064774e-05  1.064774e-05  1.064774e-05
-1.984563  1.152065e-05  1.152065e-05  1.152065e-05  1.152065e-05  1.152065e-05  1.152065e-05
-1.983555  1.242797e-05  1.242797e-05  1.242797e-05  1.242797e-05  1.242797e-05  1.242797e-05
-1.982546  1.336972e-05  1.336972e-05  1.336972e-05  1.336972e-05  1.336972e-05  1.336972e-05
-1.981537  1.434589e-05  1.434589e-05  1.434589e-05  1.434589e-05  1.434589e-05  1.434589e-05
-1.980528  1.535650e-05  1.535650e-05  1.535650e-05  1.535650e-05  1.535650e-05  1.535650e-05
-1.979519  1.640155e-05  1.640155e-05  1.640155e-05  1.640155e-05  1.640155e-05  1.640155e-05
-1.978511  1.748104e-05  1.748104e-05  1.748104e-05  1.748104e-05  1.748104e-05  1.748104e-05
-1.977502  1.859498e-05  1.859498e-05  1.859498e-05  1.859498e-05  1.859498e-05  1.859498e-05
-1.976493  1.974338e-05  1.974338e-05  1.974338e-05  1.974338e-05  1.974338e-05  1.974338e-05
-1.975484  2.092624e-05  2.092624e-05  2.092624e-05  2.092624e-05  2.092624e-05  2.092624e-05
-1.974476  2.214356e-05  2.214356e-05  2.214356e-05  2.214356e-05  2.214356e-05  2.214356e-05
-1.973467  2.339537e-05  2.339537e-05  2.339537e-05  2.339537e-05  2.339537e-05  2.339537e-05
-1.972458  2.468165e-05  2.468165e-05  2.468165e-05  2.468165e-05  2.468165e-05  2.468165e-05
-1.971449  2.600243e-05  2.600243e-05  2.600243e-05  2.600243e-05  2.600243e-05  2.600243e-05
-1.970441  2.735770e-05  2.735770e-05  2.735770e-05  2.735770e-05  2.735770e-05  2.735770e-05
-1.969432  2.874747e-05  2.874747e-05  2.874747e-05  2.874747e-05  2.874747e-05  2.874747e-05
-1.968423  3.017176e-05  3.017176e-05  3.017176e-05  3.017176e-05  3.017176e-05  3.017176e-05
-1.967414  3.163056e-05  3.163056e-05  3.163056e-05  3.163056e-05  3.163056e-05  3.163056e-05
-1.966405  3.312389e-05  3.312389e-05  3.312389e-05  3.312389e-05  3.312389e-05  3.312389e-05
-1.965397  3.465175e-05  3.465175e-05  3.465175e-05  3.465175e-05  3.465175e-05  3.465175e-05
-1.964388  3.621416e-05  3.621416e-05  3.621416e-05  3.621416e-05  3.621416e-05  3.621416e-05
-1.963379  3.781112e-05  3.781112e-05  3.781112e-05  3.781112e-05  3.781112e-05  3.781112e-05
-1.962370  3.944264e-05  3.944264e-05  3.944264e-05  3.944264e-05  3.944264e-05  3.944264e-05
