# Electron neutrino-oxygen scattering cross section 5MeV-60MeV (10^-38 cm^2/GeV) #
# log(energy in GeV)       nu_e       nu_mu       nu_tau       nu_e_bar       nu_mu_bar       nu_tau_bar #

       -2.30103        0.00829247       0           0              0              0                0
       -2.29973        0.00835125       0           0              0              0                0
       -2.29843         0.0084102       0           0              0              0                0
       -2.29713        0.00846933       0           0              0              0                0
       -2.29583        0.00852863       0           0              0              0                0
       -2.29452        0.00858811       0           0              0              0                0
       -2.29322        0.00864777       0           0              0              0                0
       -2.29192         0.0087076       0           0              0              0                0
       -2.29062        0.00876762       0           0              0              0                0
       -2.28932        0.00882781       0           0              0              0                0
       -2.28802        0.00888818       0           0              0              0                0
       -2.28672        0.00894873       0           0              0              0                0
       -2.28542        0.00900945       0           0              0              0                0
       -2.28412        0.00907036       0           0              0              0                0
       -2.28282        0.00913145       0           0              0              0                0
       -2.28151        0.00919271       0           0              0              0                0
       -2.28021        0.00925416       0           0              0              0                0
       -2.27891        0.00931579       0           0              0              0                0
       -2.27761        0.00937759       0           0              0              0                0
       -2.27631        0.00943958       0           0              0              0                0
       -2.27501        0.00950175       0           0              0              0                0
       -2.27371         0.0095641       0           0              0              0                0
       -2.27241        0.00962663       0           0              0              0                0
       -2.27111        0.00968934       0           0              0              0                0
       -2.26981        0.00975224       0           0              0              0                0
        -2.2685        0.00981531       0           0              0              0                0
        -2.2672        0.00987857       0           0              0              0                0
        -2.2659        0.00994201       0           0              0              0                0
        -2.2646         0.0100056       0           0              0              0                0
        -2.2633         0.0100694       0           0              0              0                0
         -2.262         0.0101334       0           0              0              0                0
        -2.2607         0.0101976       0           0              0              0                0
        -2.2594         0.0102619       0           0              0              0                0
        -2.2581         0.0103265       0           0              0              0                0
       -2.25679         0.0103912       0           0              0              0                0
       -2.25549         0.0104561       0           0              0              0                0
       -2.25419         0.0105212       0           0              0              0                0
       -2.25289         0.0105865       0           0              0              0                0
       -2.25159          0.010652       0           0              0              0                0
       -2.25029         0.0107177       0           0              0              0                0
       -2.24899         0.0107836       0           0              0              0                0
       -2.24769         0.0108497       0           0              0              0                0
       -2.24639         0.0109161       0           0              0              0                0
       -2.24509         0.0109826       0           0              0              0                0
       -2.24378         0.0110494       0           0              0              0                0
       -2.24248         0.0111164       0           0              0              0                0
       -2.24118         0.0111836       0           0              0              0                0
       -2.23988          0.011251       0           0              0              0                0
       -2.23858         0.0113186       0           0              0              0                0
       -2.23728         0.0113865       0           0              0              0                0
       -2.23598         0.0114546       0           0              0              0                0
       -2.23468          0.011523       0           0              0              0                0
       -2.23338         0.0115915       0           0              0              0                0
       -2.23208         0.0116604       0           0              0              0                0
       -2.23077         0.0117294       0           0              0              0                0
       -2.22947         0.0117987       0           0              0              0                0
       -2.22817         0.0118682       0           0              0              0                0
       -2.22687          0.011938       0           0              0              0                0
       -2.22557          0.012008       0           0              0              0                0
       -2.22427         0.0120783       0           0              0              0                0
       -2.22297         0.0121488       0           0              0              0                0
       -2.22167         0.0122196       0           0              0              0                0
       -2.22037         0.0122906       0           0              0              0                0
       -2.21907         0.0123619       0           0              0              0                0
       -2.21776         0.0124335       0           0              0              0                0
       -2.21646         0.0125053       0           0              0              0                0
       -2.21516         0.0125773       0           0              0              0                0
       -2.21386         0.0126496       0           0              0              0                0
       -2.21256         0.0127222       0           0              0              0                0
       -2.21126         0.0127951       0           0              0              0                0
       -2.20996         0.0128682       0           0              0              0                0
       -2.20866         0.0129416       0           0              0              0                0
       -2.20736         0.0130153       0           0              0              0                0
       -2.20605         0.0130894       0           0              0              0                0
       -2.20475         0.0131639       0           0              0              0                0
       -2.20345         0.0132388       0           0              0              0                0
       -2.20215         0.0133142       0           0              0              0                0
       -2.20085         0.0133901       0           0              0              0                0
       -2.19955         0.0134665       0           0              0              0                0
       -2.19825         0.0135436       0           0              0              0                0
       -2.19695         0.0136212       0           0              0              0                0
       -2.19565         0.0136994       0           0              0              0                0
       -2.19435         0.0137784       0           0              0              0                0
       -2.19304          0.013858       0           0              0              0                0
       -2.19174         0.0139383       0           0              0              0                0
       -2.19044         0.0140195       0           0              0              0                0
       -2.18914         0.0141014       0           0              0              0                0
       -2.18784         0.0141842       0           0              0              0                0
       -2.18654         0.0142678       0           0              0              0                0
       -2.18524         0.0143523       0           0              0              0                0
       -2.18394         0.0144377       0           0              0              0                0
       -2.18264          0.014524       0           0              0              0                0
       -2.18134         0.0146114       0           0              0              0                0
       -2.18003         0.0146997       0           0              0              0                0
       -2.17873         0.0147891       0           0              0              0                0
       -2.17743         0.0148795       0           0              0              0                0
       -2.17613          0.014971       0           0              0              0                0
       -2.17483         0.0150636       0           0              0              0                0
       -2.17353         0.0151574       0           0              0              0                0
       -2.17223         0.0152523       0           0              0              0                0
       -2.17093         0.0153484       0           0              0              0                0
       -2.16963         0.0154457       0           0              0              0                0
       -2.16832         0.0155442       0           0              0              0                0
       -2.16702          0.015644       0           0              0              0                0
       -2.16572         0.0157451       0           0              0              0                0
       -2.16442         0.0158475       0           0              0              0                0
       -2.16312         0.0159511       0           0              0              0                0
       -2.16182         0.0160561       0           0              0              0                0
       -2.16052         0.0161623       0           0              0              0                0
       -2.15922         0.0162698       0           0              0              0                0
       -2.15792         0.0163786       0           0              0              0                0
       -2.15662         0.0164886       0           0              0              0                0
       -2.15531         0.0165999       0           0              0              0                0
       -2.15401         0.0167123       0           0              0              0                0
       -2.15271          0.016826       0           0              0              0                0
       -2.15141         0.0169408       0           0              0              0                0
       -2.15011         0.0170569       0           0              0              0                0
       -2.14881         0.0171741       0           0              0              0                0
       -2.14751         0.0172925       0           0              0              0                0
       -2.14621         0.0174121       0           0              0              0                0
       -2.14491         0.0175328       0           0              0              0                0
       -2.14361         0.0176546       0           0              0              0                0
        -2.1423         0.0177776       0           0              0              0                0
         -2.141         0.0179017       0           0              0              0                0
        -2.1397         0.0180269       0           0              0              0                0
        -2.1384         0.0181531       0           0              0              0                0
        -2.1371         0.0182805       0           0              0              0                0
        -2.1358         0.0184089       0           0              0              0                0
        -2.1345         0.0185384       0           0              0              0                0
        -2.1332          0.018669       0           0              0              0                0
        -2.1319         0.0188006       0           0              0              0                0
        -2.1306         0.0189332       0           0              0              0                0
       -2.12929         0.0190669       0           0              0              0                0
       -2.12799         0.0192015       0           0              0              0                0
       -2.12669         0.0193372       0           0              0              0                0
       -2.12539         0.0194739       0           0              0              0                0
       -2.12409         0.0196115       0           0              0              0                0
       -2.12279         0.0197502       0           0              0              0                0
       -2.12149         0.0198898       0           0              0              0                0
       -2.12019         0.0200305       0           0              0              0                0
       -2.11889         0.0201723       0           0              0              0                0
