# Neutrino-13C charged current cross section (10^-38 cm^2/GeV) #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-2.647817  6.733333e-06  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.646170  8.489499e-06  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.644522  1.042465e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.642874  1.253880e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.641226  1.483200e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.639578  1.730427e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.637931  1.995564e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.636283  2.278617e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.634635  2.579588e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.632987  2.898482e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.631339  3.235304e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.629691  3.590058e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.628044  3.962750e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.626396  4.353385e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.624748  4.761969e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.623100  5.188507e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.621452  5.633005e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.619805  6.095471e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.618157  6.575911e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.616509  7.074330e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.614861  7.590738e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.613213  8.125141e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.611565  8.677547e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.609918  9.247964e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.608270  9.836400e-05  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.606622  1.044286e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.604974  1.106736e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.603326  1.170991e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.601679  1.237051e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.600031  1.304917e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.598383  1.374591e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.596735  1.446073e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.595087  1.519364e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.593440  1.594466e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.591792  1.671380e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.590144  1.750106e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.588496  1.830646e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.586848  1.913001e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.585200  1.997172e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.583553  2.083160e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.581905  2.170967e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.580257  2.260594e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.578609  2.352042e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.576961  2.445313e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.575314  2.540407e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.573666  2.637326e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.572018  2.736072e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.570370  2.836646e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.568722  2.939049e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.567074  3.043284e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.565427  3.149350e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.563779  3.257251e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.562131  3.366987e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.560483  3.478560e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.558835  3.591972e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.557188  3.707224e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.555540  3.824318e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.553892  3.943256e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.552244  4.064039e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.550596  4.186669e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.548948  4.311148e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.547301  4.437478e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.545653  4.565660e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.544005  4.695697e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.542357  4.827589e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.540709  4.961340e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.539062  5.096951e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.537414  5.234424e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.535766  5.373760e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.534118  5.514963e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.532470  5.658034e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.530822  5.802974e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.529175  5.949787e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.527527  6.098474e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.525879  6.249038e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.524231  6.401480e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.522583  6.555803e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.520936  6.712009e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.519288  6.870100e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.517640  7.030078e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.515992  7.191946e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.514344  7.355707e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.512696  7.521362e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.511049  7.688913e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.509401  7.858365e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.507753  8.029717e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.506105  8.202974e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.504457  8.378138e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.502810  8.555211e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.501162  8.734195e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.499514  8.915094e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.497866  9.097910e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.496218  9.282646e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.494570  9.469304e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.492923  9.657886e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.491275  9.848396e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.489627  1.004084e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.487979  1.023521e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.486331  1.043152e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.484684  1.062977e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.483036  1.082996e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.481388  1.103209e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.479740  1.123618e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.478092  1.144221e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.476444  1.165019e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.474797  1.186014e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.473149  1.207204e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.471501  1.228590e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.469853  1.250173e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.468205  1.271953e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.466558  1.293930e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.464910  1.316104e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.463262  1.338476e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.461614  1.361047e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.459966  1.383816e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.458318  1.406783e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.456671  1.429950e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.455023  1.453316e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.453375  1.476882e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.451727  1.500648e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.450079  1.524615e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.448432  1.548782e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.446784  1.573150e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.445136  1.597720e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.443488  1.622492e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-2.441840  1.647466e-03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
