# Electron neutrino-oxygen charged-current cross section 5MeV-100MeV (10^-38 cm^2/GeV)
# Based on arXiv:1807.02367 (calculations) and arXiv:1809.08398 (fit).
# log(energy in GeV)      nu_e         nu_mu      nu_tau   nu_e_bar  nu_mu_bar  nu_tau_bar

     -2.301030         0.00000e+00       0          0          0          0          0     
     -2.299729         0.00000e+00       0          0          0          0          0     
     -2.298428         0.00000e+00       0          0          0          0          0     
     -2.297127         0.00000e+00       0          0          0          0          0     
     -2.295826         0.00000e+00       0          0          0          0          0     
     -2.294525         0.00000e+00       0          0          0          0          0     
     -2.293224         0.00000e+00       0          0          0          0          0     
     -2.291923         0.00000e+00       0          0          0          0          0     
     -2.290622         0.00000e+00       0          0          0          0          0     
     -2.289321         0.00000e+00       0          0          0          0          0     
     -2.288020         0.00000e+00       0          0          0          0          0     
     -2.286719         0.00000e+00       0          0          0          0          0     
     -2.285418         0.00000e+00       0          0          0          0          0     
     -2.284117         0.00000e+00       0          0          0          0          0     
     -2.282816         0.00000e+00       0          0          0          0          0     
     -2.281515         0.00000e+00       0          0          0          0          0     
     -2.280214         0.00000e+00       0          0          0          0          0     
     -2.278912         0.00000e+00       0          0          0          0          0     
     -2.277611         0.00000e+00       0          0          0          0          0     
     -2.276310         0.00000e+00       0          0          0          0          0     
     -2.275009         0.00000e+00       0          0          0          0          0     
     -2.273708         0.00000e+00       0          0          0          0          0     
     -2.272407         0.00000e+00       0          0          0          0          0     
     -2.271106         0.00000e+00       0          0          0          0          0     
     -2.269805         0.00000e+00       0          0          0          0          0     
     -2.268504         0.00000e+00       0          0          0          0          0     
     -2.267203         0.00000e+00       0          0          0          0          0     
     -2.265902         0.00000e+00       0          0          0          0          0     
     -2.264601         0.00000e+00       0          0          0          0          0     
     -2.263300         0.00000e+00       0          0          0          0          0     
     -2.261999         0.00000e+00       0          0          0          0          0     
     -2.260698         0.00000e+00       0          0          0          0          0     
     -2.259397         0.00000e+00       0          0          0          0          0     
