# # nu-e elastic cross section (10^-38 cm^2/GeV) #   From Marciano et al doi.org/10.1088/0954-3899/29/11/013 #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-3.301030  5.598528e-04  1.394786e-04  1.381976e-04  2.848198e-04  1.277858e-04  1.288021e-04
-3.298729  5.610337e-04  1.396002e-04  1.383181e-04  2.851551e-04  1.278707e-04  1.288877e-04
-3.296428  5.622133e-04  1.397213e-04  1.384380e-04  2.854897e-04  1.279551e-04  1.289728e-04
-3.294127  5.633915e-04  1.398417e-04  1.385574e-04  2.858236e-04  1.280389e-04  1.290573e-04
-3.291826  5.645684e-04  1.399615e-04  1.386761e-04  2.861570e-04  1.281221e-04  1.291411e-04
-3.289525  5.657438e-04  1.400807e-04  1.387942e-04  2.864897e-04  1.282048e-04  1.292244e-04
-3.287224  5.669178e-04  1.401993e-04  1.389117e-04  2.868217e-04  1.282868e-04  1.293072e-04
-3.284923  5.680904e-04  1.403173e-04  1.390286e-04  2.871531e-04  1.283683e-04  1.293893e-04
-3.282622  5.692615e-04  1.404347e-04  1.391450e-04  2.874839e-04  1.284493e-04  1.294709e-04
-3.280321  5.704312e-04  1.405515e-04  1.392607e-04  2.878140e-04  1.285296e-04  1.295519e-04
-3.278020  5.715994e-04  1.406677e-04  1.393758e-04  2.881435e-04  1.286095e-04  1.296324e-04
-3.275719  5.727661e-04  1.407833e-04  1.394904e-04  2.884723e-04  1.286887e-04  1.297122e-04
-3.273418  5.739314e-04  1.408984e-04  1.396043e-04  2.888005e-04  1.287674e-04  1.297916e-04
-3.271117  5.750951e-04  1.410128e-04  1.397177e-04  2.891280e-04  1.288455e-04  1.298703e-04
-3.268816  5.762572e-04  1.411266e-04  1.398305e-04  2.894549e-04  1.289231e-04  1.299485e-04
-3.266515  5.774179e-04  1.412398e-04  1.399427e-04  2.897812e-04  1.290001e-04  1.300261e-04
-3.264214  5.785770e-04  1.413525e-04  1.400543e-04  2.901068e-04  1.290766e-04  1.301032e-04
-3.261912  5.797345e-04  1.414645e-04  1.401653e-04  2.904318e-04  1.291525e-04  1.301797e-04
-3.259611  5.808904e-04  1.415760e-04  1.402757e-04  2.907561e-04  1.292279e-04  1.302557e-04
-3.257310  5.820448e-04  1.416869e-04  1.403856e-04  2.910798e-04  1.293027e-04  1.303311e-04
-3.255009  5.831975e-04  1.417972e-04  1.404949e-04  2.914029e-04  1.293770e-04  1.304060e-04
