# Neutrino-electron elastic scattering cross section (10^-38 cm^2/GeV) # 
# log(energy in GeV)  nu_e      nu_mu         nu_tau         nu_e_bar         nu_mu_bar       nu_tau_bar # 

  -2.30103    0.000835101    0.000139462     0.000139462     0.000353248     0.000114409     0.000114409
  -2.29973    0.000835353    0.000139504     0.000139504     0.000353354     0.000114443     0.000114443
  -2.29843    0.000835604    0.000139546     0.000139546     0.000353461     0.000114478     0.000114478
  -2.29713    0.000835855    0.000139588     0.000139588     0.000353567     0.000114512     0.000114512
  -2.29583    0.000836105     0.00013963      0.00013963     0.000353672     0.000114546     0.000114546
  -2.29452    0.000836354    0.000139671     0.000139671     0.000353778      0.00011458      0.00011458
  -2.29322    0.000836602    0.000139713     0.000139713     0.000353883     0.000114615     0.000114615
  -2.29192     0.00083685    0.000139754     0.000139754     0.000353988     0.000114648     0.000114648
  -2.29062    0.000837097    0.000139795     0.000139795     0.000354092     0.000114682     0.000114682
  -2.28932    0.000837343    0.000139836     0.000139836     0.000354196     0.000114716     0.000114716
  -2.28802    0.000837588    0.000139877     0.000139877       0.0003543      0.00011475      0.00011475
  -2.28672    0.000837833    0.000139918     0.000139918     0.000354403     0.000114783     0.000114783
  -2.28542    0.000838077    0.000139959     0.000139959     0.000354507     0.000114817     0.000114817
  -2.28412     0.00083832    0.000139999     0.000139999     0.000354609      0.00011485      0.00011485
  -2.28282    0.000838563     0.00014004      0.00014004     0.000354712     0.000114883     0.000114883
  -2.28151    0.000838805     0.00014008      0.00014008     0.000354814     0.000114916     0.000114916
  -2.28021    0.000839046    0.000140121     0.000140121     0.000354916     0.000114949     0.000114949
  -2.27891    0.000839286    0.000140161     0.000140161     0.000355018     0.000114982     0.000114982
  -2.27761    0.000839525    0.000140201     0.000140201     0.000355119     0.000115015     0.000115015
  -2.27631    0.000839764    0.000140241     0.000140241      0.00035522     0.000115048     0.000115048
  -2.27501    0.000840002     0.00014028      0.00014028     0.000355321      0.00011508      0.00011508
  -2.27371     0.00084024     0.00014032      0.00014032     0.000355421     0.000115113     0.000115113
  -2.27241    0.000840477     0.00014036      0.00014036     0.000355522     0.000115145     0.000115145
  -2.27111    0.000840713    0.000140399     0.000140399     0.000355621     0.000115178     0.000115178
  -2.26981    0.000840948    0.000140438     0.000140438     0.000355721      0.00011521      0.00011521
   -2.2685    0.000841183    0.000140477     0.000140477      0.00035582     0.000115242     0.000115242
   -2.2672    0.000841416    0.000140517     0.000140517     0.000355919     0.000115274     0.000115274
   -2.2659     0.00084165    0.000140555     0.000140555     0.000356018     0.000115306     0.000115306
   -2.2646    0.000841882    0.000140594     0.000140594     0.000356116     0.000115338     0.000115338
   -2.2633    0.000842114    0.000140633     0.000140633     0.000356214      0.00011537      0.00011537
    -2.262    0.000842345    0.000140672     0.000140672     0.000356312     0.000115401     0.000115401
   -2.2607    0.000842575     0.00014071      0.00014071     0.000356409     0.000115433     0.000115433
   -2.2594    0.000842805    0.000140748     0.000140748     0.000356507     0.000115464     0.000115464
   -2.2581    0.000843034    0.000140787     0.000140787     0.000356603     0.000115496     0.000115496
  -2.25679    0.000843263    0.000140825     0.000140825       0.0003567     0.000115527     0.000115527
  -2.25549     0.00084349    0.000140863     0.000140863     0.000356796     0.000115558     0.000115558
  -2.25419    0.000843717    0.000140901     0.000140901     0.000356892     0.000115589     0.000115589
  -2.25289    0.000843943    0.000140939     0.000140939     0.000356988      0.00011562      0.00011562
  -2.25159    0.000844169    0.000140976     0.000140976     0.000357084     0.000115651     0.000115651
  -2.25029    0.000844394    0.000141014     0.000141014     0.000357179     0.000115682     0.000115682
  -2.24899    0.000844618    0.000141051     0.000141051     0.000357274     0.000115713     0.000115713
  -2.24769    0.000844842    0.000141089     0.000141089     0.000357368     0.000115743     0.000115743
  -2.24639    0.000845065    0.000141126     0.000141126     0.000357462     0.000115774     0.000115774
  -2.24509    0.000845287    0.000141163     0.000141163     0.000357556     0.000115804     0.000115804
  -2.24378    0.000845509      0.0001412       0.0001412      0.00035765     0.000115835     0.000115835
  -2.24248     0.00084573    0.000141237     0.000141237     0.000357744     0.000115865     0.000115865
  -2.24118     0.00084595    0.000141274     0.000141274     0.000357837     0.000115895     0.000115895
  -2.23988    0.000846169     0.00014131      0.00014131      0.00035793     0.000115925     0.000115925
  -2.23858    0.000846388    0.000141347     0.000141347     0.000358022     0.000115955     0.000115955
  -2.23728    0.000846607    0.000141383     0.000141383     0.000358115     0.000115985     0.000115985
  -2.23598    0.000846824     0.00014142      0.00014142     0.000358207     0.000116015     0.000116015
  -2.23468    0.000847041    0.000141456     0.000141456     0.000358298     0.000116045     0.000116045
  -2.23338    0.000847257    0.000141492     0.000141492      0.00035839     0.000116074     0.000116074
  -2.23208    0.000847473    0.000141528     0.000141528     0.000358481     0.000116104     0.000116104
  -2.23077    0.000847688    0.000141564     0.000141564     0.000358572     0.000116133     0.000116133
  -2.22947    0.000847903      0.0001416       0.0001416     0.000358663     0.000116163     0.000116163
  -2.22817    0.000848116    0.000141635     0.000141635     0.000358753     0.000116192     0.000116192
  -2.22687    0.000848329    0.000141671     0.000141671     0.000358843     0.000116221     0.000116221
  -2.22557    0.000848542    0.000141706     0.000141706     0.000358933      0.00011625      0.00011625
  -2.22427    0.000848754    0.000141742     0.000141742     0.000359023     0.000116279     0.000116279
  -2.22297    0.000848965    0.000141777     0.000141777     0.000359112     0.000116308     0.000116308
  -2.22167    0.000849175    0.000141812     0.000141812     0.000359201     0.000116337     0.000116337
  -2.22037    0.000849385    0.000141847     0.000141847      0.00035929     0.000116366     0.000116366
  -2.21907    0.000849595    0.000141882     0.000141882     0.000359378     0.000116394     0.000116394
  -2.21776    0.000849803    0.000141917     0.000141917     0.000359467     0.000116423     0.000116423
  -2.21646    0.000850011    0.000141952     0.000141952     0.000359555     0.000116452     0.000116452
  -2.21516    0.000850219    0.000141987     0.000141987     0.000359642      0.00011648      0.00011648
  -2.21386    0.000850425    0.000142021     0.000142021      0.00035973     0.000116508     0.000116508
  -2.21256    0.000850632    0.000142055     0.000142055     0.000359817     0.000116537     0.000116537
  -2.21126    0.000850837     0.00014209      0.00014209     0.000359904     0.000116565     0.000116565
  -2.20996    0.000851042    0.000142124     0.000142124     0.000359991     0.000116593     0.000116593
  -2.20866    0.000851246    0.000142158     0.000142158     0.000360077     0.000116621     0.000116621
  -2.20736     0.00085145    0.000142192     0.000142192     0.000360163     0.000116649     0.000116649
  -2.20605    0.000851653    0.000142226     0.000142226     0.000360249     0.000116676     0.000116676
  -2.20475    0.000851855     0.00014226      0.00014226     0.000360335     0.000116704     0.000116704
  -2.20345    0.000852057    0.000142294     0.000142294      0.00036042     0.000116732     0.000116732
  -2.20215    0.000852259    0.000142327     0.000142327     0.000360505     0.000116759     0.000116759
  -2.20085    0.000852459    0.000142361     0.000142361      0.00036059     0.000116787     0.000116787
  -2.19955    0.000852659    0.000142394     0.000142394     0.000360675     0.000116814     0.000116814
  -2.19825    0.000852859    0.000142427     0.000142427     0.000360759     0.000116842     0.000116842
  -2.19695    0.000853058    0.000142461     0.000142461     0.000360843     0.000116869     0.000116869
  -2.19565    0.000853256    0.000142494     0.000142494     0.000360927     0.000116896     0.000116896
