# # nu-e elastic cross section (10^-38 cm^2/GeV) #   From Marciano et al doi.org/10.1088/0954-3899/29/11/013 #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-3.301030  5.598528e-04  1.394786e-04  1.381976e-04  2.848198e-04  1.277858e-04  1.288021e-04
-3.298428  5.611881e-04  1.396161e-04  1.383339e-04  2.851989e-04  1.278818e-04  1.288989e-04
-3.295826  5.625217e-04  1.397528e-04  1.384693e-04  2.855771e-04  1.279771e-04  1.289949e-04
-3.293224  5.638536e-04  1.398888e-04  1.386040e-04  2.859545e-04  1.280716e-04  1.290902e-04
-3.290622  5.651836e-04  1.400240e-04  1.387380e-04  2.863311e-04  1.281654e-04  1.291848e-04
-3.288020  5.665119e-04  1.401584e-04  1.388711e-04  2.867069e-04  1.282585e-04  1.292786e-04
-3.285418  5.678383e-04  1.402920e-04  1.390035e-04  2.870819e-04  1.283509e-04  1.293717e-04
-3.282816  5.691629e-04  1.404249e-04  1.391352e-04  2.874560e-04  1.284425e-04  1.294641e-04
-3.280214  5.704857e-04  1.405570e-04  1.392661e-04  2.878293e-04  1.285334e-04  1.295557e-04
-3.277611  5.718065e-04  1.406883e-04  1.393962e-04  2.882018e-04  1.286236e-04  1.296466e-04
-3.275009  5.731255e-04  1.408189e-04  1.395256e-04  2.885735e-04  1.287130e-04  1.297368e-04
-3.272407  5.744425e-04  1.409487e-04  1.396542e-04  2.889444e-04  1.288018e-04  1.298262e-04
-3.269805  5.757576e-04  1.410777e-04  1.397820e-04  2.893144e-04  1.288898e-04  1.299149e-04
-3.267203  5.770707e-04  1.412060e-04  1.399092e-04  2.896836e-04  1.289771e-04  1.300030e-04
-3.264601  5.783818e-04  1.413335e-04  1.400355e-04  2.900520e-04  1.290638e-04  1.300903e-04
-3.261999  5.796910e-04  1.414603e-04  1.401611e-04  2.904196e-04  1.291497e-04  1.301769e-04
-3.259397  5.809981e-04  1.415864e-04  1.402860e-04  2.907863e-04  1.292349e-04  1.302628e-04
-3.256795  5.823031e-04  1.417116e-04  1.404101e-04  2.911522e-04  1.293194e-04  1.303480e-04
-3.254193  5.836061e-04  1.418362e-04  1.405335e-04  2.915174e-04  1.294032e-04  1.304324e-04
-3.251591  5.849071e-04  1.419600e-04  1.406562e-04  2.918816e-04  1.294864e-04  1.305162e-04
-3.248989  5.862059e-04  1.420830e-04  1.407781e-04  2.922451e-04  1.295688e-04  1.305993e-04
-3.246387  5.875026e-04  1.422053e-04  1.408993e-04  2.926077e-04  1.296506e-04  1.306818e-04
-3.243785  5.887972e-04  1.423269e-04  1.410198e-04  2.929696e-04  1.297316e-04  1.307635e-04
-3.241183  5.900896e-04  1.424478e-04  1.411395e-04  2.933306e-04  1.298120e-04  1.308445e-04
-3.238581  5.913799e-04  1.425679e-04  1.412585e-04  2.936908e-04  1.298918e-04  1.309249e-04
-3.235978  5.926679e-04  1.426872e-04  1.413768e-04  2.940501e-04  1.299708e-04  1.310046e-04
-3.233376  5.939538e-04  1.428059e-04  1.414943e-04  2.944087e-04  1.300492e-04  1.310836e-04
-3.230774  5.952374e-04  1.429238e-04  1.416112e-04  2.947664e-04  1.301269e-04  1.311619e-04
-3.228172  5.965188e-04  1.430410e-04  1.417273e-04  2.951233e-04  1.302040e-04  1.312396e-04
-3.225570  5.977979e-04  1.431575e-04  1.418427e-04  2.954794e-04  1.302804e-04  1.313166e-04
-3.222968  5.990747e-04  1.432732e-04  1.419574e-04  2.958346e-04  1.303561e-04  1.313929e-04
-3.220366  6.003492e-04  1.433883e-04  1.420714e-04  2.961890e-04  1.304312e-04  1.314686e-04
-3.217764  6.016214e-04  1.435026e-04  1.421846e-04  2.965427e-04  1.305056e-04  1.315436e-04
-3.215162  6.028913e-04  1.436162e-04  1.422972e-04  2.968955e-04  1.305794e-04  1.316180e-04
-3.212560  6.041589e-04  1.437291e-04  1.424091e-04  2.972474e-04  1.306525e-04  1.316917e-04
-3.209958  6.054240e-04  1.438413e-04  1.425202e-04  2.975986e-04  1.307250e-04  1.317648e-04
-3.207356  6.066868e-04  1.439528e-04  1.426307e-04  2.979489e-04  1.307969e-04  1.318372e-04
-3.204754  6.079472e-04  1.440636e-04  1.427405e-04  2.982984e-04  1.308681e-04  1.319090e-04
-3.202152  6.092052e-04  1.441737e-04  1.428496e-04  2.986471e-04  1.309387e-04  1.319801e-04
